equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
1. FC Heidenheim 1846,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/1-fc-heidenheim-1846/3xcg7xikgrn2x8oa65sopb2is,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3xcg7xikgrn2x8oa65sopb2is,3xcg7xikgrn2x8oa65sopb2is,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=3xcg7xikgrn2x8oa65sopb2is&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36a69ea42267187557206bd469c7fb0f3658021fe,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=3xcg7xikgrn2x8oa65sopb2is&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33f0050db3e75175df98459729b3a80a9e239c39d,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=3xcg7xikgrn2x8oa65sopb2is&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3912d9595ac9bb43dcd0598db0b46c5f422195a80,1._FC_Heidenheim_1846
1. FC Köln,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/1-fc-köln/8q1ul09cygzswb7tb456bmifv,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=8q1ul09cygzswb7tb456bmifv,8q1ul09cygzswb7tb456bmifv,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=8q1ul09cygzswb7tb456bmifv&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d6804bbd8c51daf5c70b12059f4212380dbe346c,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=8q1ul09cygzswb7tb456bmifv&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W305cf7334eae98baf33736210fd750e6793f855ef,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=8q1ul09cygzswb7tb456bmifv&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3100ac89af574e5763b9165b32f6e3937f34344ff,1._FC_Köln
1. FC Union Berlin,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/1-fc-union-berlin/a8d2gb2nag8fy0itbuxmcibh2,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a8d2gb2nag8fy0itbuxmcibh2,a8d2gb2nag8fy0itbuxmcibh2,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=a8d2gb2nag8fy0itbuxmcibh2&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d0d75211e036ce16cb7ab5a575f7837302059add,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=a8d2gb2nag8fy0itbuxmcibh2&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W385e9f3924fea5a40bcd8ed319fbccfd0c6eca933,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=a8d2gb2nag8fy0itbuxmcibh2&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d7731cd4ef51a96f4de3102b1ffd7b27d5039487,1._FC_Union_Berlin
1. FSV Mainz 05,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/1-fsv-mainz-05/1c7qokc1j5z50cjj4tcu32haa,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1c7qokc1j5z50cjj4tcu32haa,1c7qokc1j5z50cjj4tcu32haa,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1c7qokc1j5z50cjj4tcu32haa&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W318ab9eaef952a8da828f65a43bae31e7b948fe8c,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=1c7qokc1j5z50cjj4tcu32haa&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W393820f948054e18c99c94b1580812e84cf789276,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=1c7qokc1j5z50cjj4tcu32haa&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e569c8ac89bc719b6c9a20fbae31bda71c620562,1._FSV_Mainz_05
BV Borussia 09 Dortmund,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/bv-borussia-09-dortmund/dt4pinj0vw0t0cvz7za6mhmzy,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=dt4pinj0vw0t0cvz7za6mhmzy,dt4pinj0vw0t0cvz7za6mhmzy,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=dt4pinj0vw0t0cvz7za6mhmzy&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f135c19a3894b05696f82f64959cdba37a5622c3,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=dt4pinj0vw0t0cvz7za6mhmzy&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3cd6ee07b81ac9d586c880436924cccc673fd5529,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=dt4pinj0vw0t0cvz7za6mhmzy&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W326fddfb4aab0ceb50b5545425d91b12a5e190b71,BV_Borussia_09_Dortmund
Bayer 04 Leverkusen,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/bayer-04-leverkusen/7ad69ngbpjuyzv96drf8d9sn2,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7ad69ngbpjuyzv96drf8d9sn2,7ad69ngbpjuyzv96drf8d9sn2,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=7ad69ngbpjuyzv96drf8d9sn2&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W357234692ff11eed94adadd1323008a5ee33a4df9,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=7ad69ngbpjuyzv96drf8d9sn2&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d6b7dd2b27fa0194fef4e4fe806f9e0c77f9447e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=7ad69ngbpjuyzv96drf8d9sn2&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39d8441f0bafb391acdf15e1a82c56503a835a8b0,Bayer_04_Leverkusen
Borussia VfL Mönchengladbach,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/borussia-vfl-mönchengladbach/go76xxm0xyfgqt1h6tcrtimm,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=go76xxm0xyfgqt1h6tcrtimm,go76xxm0xyfgqt1h6tcrtimm,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=go76xxm0xyfgqt1h6tcrtimm&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38fbda462e0c5b71f9bdb8173edc9f7081570d434,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=go76xxm0xyfgqt1h6tcrtimm&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W345e2d691fff574a9b0dbb8dc277c85d169a8ab7b,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=go76xxm0xyfgqt1h6tcrtimm&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d34dec560a214a02ae25384eca9a4396dbb6bf0f,Borussia_VfL_Mönchengladbach
Eintracht Frankfurt,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/eintracht-frankfurt/c5hderjlkcoaze51e5wgvptk,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=c5hderjlkcoaze51e5wgvptk,c5hderjlkcoaze51e5wgvptk,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=c5hderjlkcoaze51e5wgvptk&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aea77f226a306a044dd2a21da63dd557ad09f186,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=c5hderjlkcoaze51e5wgvptk&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f8683626a5354e365fdbdc805988c46f6c2c361a,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=c5hderjlkcoaze51e5wgvptk&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39ba3c55c314db66250770f9edb12ae2be2cecc5f,Eintracht_Frankfurt
FC Augsburg,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/fc-augsburg/ex3psl8e3ajeypwjy4xfltpx6,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ex3psl8e3ajeypwjy4xfltpx6,ex3psl8e3ajeypwjy4xfltpx6,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ex3psl8e3ajeypwjy4xfltpx6&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3334a02401f07adb615210f35a07e913da76c491b,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=ex3psl8e3ajeypwjy4xfltpx6&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a87fa4c9fce68bdf0a950e8f276168016c92589a,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=ex3psl8e3ajeypwjy4xfltpx6&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30dbac70306a1c7ce1486520c4c675da17f52387f,FC_Augsburg
FC Bayern München,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/teams/fc-bayern-münchen/apoawtpvac4zqlancmvw4nk4o,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=apoawtpvac4zqlancmvw4nk4o,apoawtpvac4zqlancmvw4nk4o,2bchmrj23l9u42d68ntcekob8,bundesliga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=apoawtpvac4zqlancmvw4nk4o&tmcl=2bchmrj23l9u42d68ntcekob8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3681ce8995c63df1ea7b4e728690d21ddf7bdb773,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=apoawtpvac4zqlancmvw4nk4o&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31010aaef8c67aec17f0eb89b9a2e9249f7dc9344,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2bchmrj23l9u42d68ntcekob8&ctst=apoawtpvac4zqlancmvw4nk4o&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W353933cc20239bad53a1e5b95cf7d73e2564f95ee,FC_Bayern_München
