root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Fifty Fifty,Shots Off Target (inc woodwork),GK Successful Distribution,Goals Conceded Inside Box,Attempts from Set Pieces,Corners Taken (incl short corners),Goals,Ground Duels,Total Tackles,Unsuccessful Corners into Box,Aerial Duels,Goals from Inside Box,Backward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Successful Fifty Fifty,Successful Open Play Passes,Ground Duels lost,Index,Throw Ins to Opposition Player,Total Losses Of Possession,Key Passes (Attempt Assists),Duels won,Aerial Duels won,Tackles Lost,Total Fouls Won,Touches,Rightside Passes,Tackles Won,Starts,Leftside Passes,Open Play Passes,Recoveries,Time Played,Total Shots,Total Clearances,Successful Passes Opposition Half,Successful Corners into Box,Assists (Intentional),Unsuccessful Crosses open play,Aerial Duels lost,Goals Conceded Outside Box,Goal Assists,Duels lost,Unsuccessful Short Passes,Unsuccessful Crosses & Corners,Successful Crosses open play,Total Touches In Opposition Box,Unsuccessful Dribbles,Blocked Shots,Successful Long Passes,Shots On Target ( inc goals ),Substitute Off,Throw Ins to Own Player,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Clean Sheets,Unsuccessful Long Passes,Foul Attempted Tackle,Goals Conceded,Appearances,Successful Launches,Unsuccessful Passes Own Half,Forward Passes,Successful Short Passes,Ground Duels won,Successful Passes Own Half,Successful Lay-offs,Games Played,Corners Won,Unsuccessful Passes Opposition Half,Blocks,Interceptions,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Dribbles,PutThrough/Blocked Distribution,Left Foot Goals,Offsides,Through balls,Times Tackled,Total Passes,Total Fouls Conceded,Yellow Cards,Successful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Unsuccessful lay-offs,Right Foot Goals,Handballs conceded,Substitute On,Hit Woodwork,Headed Goals,Second Goal Assists,Penalty Goals Conceded,Goals from Outside Box,Penalties Taken,Penalty Goals,Penalties Off Target,Foul Won Penalty,Other Goals,Clearances Off the Line,Catches,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Saves Made from Outside Box,Punches,Saves made - parried,Drops,Saves Made from Inside Box,Saves from Penalty,Penalties Faced,Penalties Saved,Total Red Cards,Penalties Conceded,Straight Red Cards,Last Man Tackle,Own Goal Scored,Goalkeeper Smother,Red Cards - 2nd Yellow,Set Pieces Goals,Crosses not Claimed,Carries,Final Third Touches,Goals Openplay,Overruns,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Goal Kicks,Last Player Tackle,Total Big Chances Saved
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,3kx4mltrob4yta5g6kr2u8ic5,D. Blind,Defender,17,56.0,7.0,5.0,16.0,1.0,3.0,1.0,112.0,28.0,1.0,75.0,1.0,112.0,254.0,187.0,28.0,1601.0,55.0,76.0,4.0,323.0,19.0,101.0,44.0,12.0,9.0,2198.0,587.0,16.0,23.0,271.0,1849.0,176.0,1964.0,11.0,27.0,867.0,1.0,1.0,19.0,31.0,2.0,1.0,86.0,149.0,20.0,5.0,21.0,9.0,6.0,129.0,4.0,7.0,30.0,32.0,17.0,6.0,105.0,6.0,18.0,23.0,13.0,70.0,924.0,1511.0,57.0,779.0,1.0,23.0,3.0,204.0,9.0,34.0,1640.0,20.0,30.0,1.0,1.0,3.0,22.0,1894.0,15.0,3.0,6.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,Forward,30,7.0,5.0,,2.0,,,3.0,10.0,1.0,,22.0,3.0,34.0,17.0,32.0,3.0,58.0,4.0,80.0,,27.0,3.0,15.0,9.0,,2.0,116.0,18.0,1.0,1.0,20.0,75.0,11.0,194.0,11.0,1.0,49.0,,1.0,,13.0,1.0,1.0,17.0,17.0,,,27.0,,1.0,,6.0,1.0,,,2.0,,,1.0,3.0,12.0,,1.0,8.0,63.0,6.0,14.0,5.0,12.0,2.0,16.0,,1.0,63.0,3.0,4.0,1.0,1.0,,1.0,80.0,3.0,,,3.0,0.0,2.0,1.0,2.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,b0me6l44boibnwpbtasxoy02x,S. Dest,Defender,28,,1.0,,,,,,10.0,2.0,,,,11.0,4.0,10.0,,30.0,6.0,29.0,,15.0,1.0,4.0,,,,62.0,11.0,2.0,,5.0,34.0,4.0,74.0,1.0,1.0,19.0,,,4.0,,,,6.0,2.0,4.0,,2.0,,1.0,1.0,,,6.0,2.0,,,2.0,,,3.0,,2.0,7.0,29.0,4.0,11.0,,3.0,2.0,6.0,1.0,1.0,30.0,2.0,,,,,4.0,34.0,1.0,,,0.0,0.0,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,d19yalwh3i2olvpwoi89feqjt,J. Ekkelenkamp,Midfielder,18,36.0,8.0,,6.0,,,3.0,53.0,11.0,,21.0,3.0,55.0,54.0,74.0,23.0,232.0,29.0,73.0,,96.0,5.0,35.0,11.0,4.0,5.0,420.0,62.0,7.0,4.0,88.0,286.0,28.0,650.0,16.0,2.0,155.0,,2.0,3.0,10.0,,2.0,39.0,45.0,3.0,,56.0,8.0,9.0,5.0,8.0,1.0,1.0,5.0,2.0,1.0,9.0,2.0,6.0,15.0,1.0,9.0,84.0,230.0,24.0,80.0,6.0,15.0,6.0,48.0,3.0,7.0,235.0,8.0,9.0,1.0,2.0,1.0,17.0,289.0,4.0,,,0.0,3.0,1.0,,1.0,1.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,b8ixf31bdyfqqcwoy4ulai73e,K. Fitz-Jim,Midfielder,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,5ga7g20wsa7oqjbh4ijoeknl6,R. Gravenberch,Midfielder,8,77.0,14.0,,18.0,4.0,40.0,3.0,246.0,41.0,22.0,57.0,1.0,370.0,280.0,303.0,32.0,1859.0,127.0,65.0,,457.0,32.0,157.0,38.0,14.0,27.0,2736.0,727.0,27.0,31.0,440.0,2139.0,185.0,2616.0,31.0,19.0,1189.0,10.0,4.0,9.0,19.0,1.0,5.0,146.0,235.0,32.0,7.0,55.0,30.0,16.0,76.0,17.0,9.0,20.0,10.0,22.0,10.0,45.0,20.0,19.0,32.0,1.0,61.0,652.0,1833.0,119.0,737.0,19.0,32.0,10.0,251.0,3.0,45.0,1909.0,51.0,48.0,1.0,,4.0,66.0,2189.0,36.0,3.0,17.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,cy0lv5u16obr2ne4xiins43x1,S. Haller,Forward,22,91.0,21.0,,9.0,,,11.0,177.0,23.0,,124.0,11.0,126.0,144.0,301.0,51.0,363.0,92.0,95.0,,267.0,18.0,161.0,76.0,7.0,41.0,892.0,167.0,16.0,18.0,125.0,507.0,56.0,1568.0,45.0,17.0,309.0,,4.0,5.0,48.0,1.0,5.0,140.0,140.0,5.0,1.0,149.0,15.0,9.0,7.0,24.0,8.0,1.0,,13.0,4.0,4.0,17.0,10.0,19.0,1.0,14.0,114.0,381.0,85.0,80.0,25.0,19.0,13.0,135.0,1.0,7.0,388.0,21.0,29.0,3.0,12.0,2.0,50.0,532.0,26.0,2.0,1.0,5.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,54t6sj2m8fqyxvovx2cc420ut,K. Huntelaar,Forward,9,10.0,9.0,,3.0,,,7.0,14.0,3.0,,13.0,7.0,30.0,21.0,27.0,8.0,89.0,10.0,100.0,,38.0,8.0,12.0,8.0,,,166.0,44.0,3.0,3.0,21.0,110.0,7.0,386.0,19.0,1.0,82.0,,,1.0,5.0,,1.0,15.0,19.0,1.0,,30.0,2.0,1.0,,10.0,1.0,,2.0,,1.0,2.0,1.0,3.0,11.0,,7.0,22.0,96.0,4.0,14.0,14.0,11.0,5.0,15.0,,1.0,96.0,1.0,3.0,1.0,2.0,2.0,6.0,117.0,1.0,,,1.0,6.0,2.0,,3.0,,8.0,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Eredivisie,2020-2021,AFC Ajax,AFC_Ajax,a89554tzfy4nfxrycpr2z0xjp,O. Idrissi,Forward,9,3.0,3.0,,2.0,,5.0,,36.0,4.0,4.0,1.0,,46.0,16.0,37.0,3.0,127.0,20.0,80.0,,45.0,8.0,17.0,1.0,2.0,3.0,216.0,57.0,2.0,1.0,16.0,143.0,19.0,206.0,5.0,,97.0,,,1.0,,,,20.0,16.0,5.0,3.0,27.0,6.0,3.0,6.0,2.0,1.0,4.0,,5.0,,,3.0,2.0,7.0,1.0,2.0,26.0,123.0,16.0,35.0,3.0,7.0,3.0,19.0,,,129.0,10.0,10.0,,,,13.0,145.0,4.0,,3.0,0.0,0.0,0.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
