liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Assists (Intentional),Blocked Shots,Clean Sheets,Clearances Off the Line,GK Successful Distribution,Goal Assists,Goal Kicks,Goals,Goals from Inside Box,Handballs conceded,Headed Goals,Own Goal Scored,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Second Goal Assists,Shots On Target ( inc goals ),Successful Launches,Through balls,Throw Ins to Opposition Player,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Red Cards,Yellow Cards,Home Goals,Away Goals,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Hit Woodwork,Left Foot Goals,Overruns,Right Foot Goals,Successful Corners into Box,Unsuccessful Corners into Box,Unsuccessful lay-offs,Foul Won Penalty,Goals from Outside Box,Last Player Tackle,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Goalkeeper Smother,Penalties Taken,Penalty Goals,Straight Red Cards,Direct Setpiece Goals,Set Pieces Goals,Direct Corner Goals,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals,Crosses not Claimed
Eredivisie,2025-2026,AFC Ajax,qbianttmr932drta2agkunf8,M. Abdalla,Midfielder,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,4fu2agdclsyxx1boxxibauzo4,G. Alders,Defender,41,15.0,13.0,2.0,9.0,56.0,3.0,56.0,3.0,67.0,30.0,37.0,90.0,77.0,4.0,9.0,9.0,7.0,2.0,52.0,17.0,35.0,6.0,4.0,53.0,1.0,230.0,37.0,13.0,1.0,24.0,49.0,4.0,1.0,7.0,6.0,2.0,4.0,4.0,1.0,2.0,7.0,187.0,106.0,90.0,185.0,11.0,9.0,28.0,529.0,9.0,2.0,19.0,6.0,14.0,73.0,235.0,1.0,192.0,20.0,11.0,43.0,377.0,9.0,9.0,3.0,5.0,6.0,36.0,16.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,3ctkqknm19hnv3oliuzgizuac,A. Appiah,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,47l204bkq2qqjhtazusr0019m,Y. Baas,Defender,15,91.0,47.0,44.0,30.0,153.0,31.0,592.0,1.0,246.0,102.0,144.0,147.0,631.0,11.0,30.0,38.0,34.0,4.0,155.0,55.0,100.0,34.0,7.0,483.0,1.0,2123.0,324.0,27.0,17.0,133.0,979.0,8.0,6.0,30.0,,,1.0,1.0,10.0,1.0,75.0,1958.0,759.0,1318.0,2001.0,21.0,32.0,12.0,2670.0,17.0,3.0,133.0,25.0,37.0,222.0,2246.0,13.0,2076.0,53.0,25.0,170.0,2702.0,1.0,1.0,8.0,36.0,76.0,93.0,78.0,94.0,2.0,1.0,1.0,8.0,2.0,59.0,1.0,59.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,7.0,15.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,Forward,23,8.0,4.0,4.0,18.0,148.0,2.0,173.0,11.0,66.0,36.0,30.0,389.0,176.0,3.0,18.0,8.0,6.0,2.0,58.0,32.0,26.0,8.0,31.0,272.0,2.0,658.0,68.0,18.0,2.0,54.0,80.0,33.0,14.0,13.0,10.0,5.0,21.0,5.0,5.0,26.0,48.0,553.0,415.0,175.0,521.0,4.0,8.0,10.0,1071.0,25.0,6.0,5.0,7.0,10.0,196.0,676.0,30.0,569.0,12.0,52.0,107.0,897.0,42.0,25.0,12.0,10.0,34.0,128.0,21.0,73.0,1.0,2.0,9.0,1.0,,,2.0,,4.0,4.0,2.0,,,,,,1.0,16.0,1.0,4.0,1.0,2.0,,2.0,,3.0,2.0,2.0,3.0,37.0,4.0,1.0,3.0,2.0,1.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,264gu641hrd38wqf28xolwhlg,R. Bounida,Forward,43,21.0,15.0,6.0,21.0,95.0,2.0,177.0,14.0,125.0,66.0,59.0,305.0,97.0,3.0,21.0,12.0,12.0,,104.0,51.0,53.0,2.0,24.0,147.0,,378.0,67.0,19.0,7.0,36.0,48.0,29.0,8.0,9.0,8.0,12.0,11.0,3.0,17.0,17.0,17.0,316.0,238.0,97.0,307.0,9.0,5.0,12.0,807.0,28.0,5.0,16.0,12.0,22.0,166.0,387.0,18.0,324.0,14.0,62.0,63.0,650.0,45.0,17.0,14.0,7.0,12.0,91.0,17.0,51.0,1.0,5.0,18.0,,,,5.0,,1.0,1.0,2.0,,,,1.0,,1.0,10.0,,5.0,,3.0,,,,4.0,1.0,0.0,3.0,36.0,1.0,1.0,1.0,2.0,,8.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,2wesmq2wuhnuwh2yhgkuaxqfo,A. Bouwman,Defender,30,12.0,9.0,3.0,8.0,28.0,5.0,105.0,,30.0,19.0,11.0,12.0,105.0,2.0,8.0,3.0,3.0,,18.0,10.0,8.0,4.0,1.0,201.0,,394.0,48.0,3.0,2.0,23.0,76.0,1.0,,6.0,,2.0,,,1.0,,10.0,369.0,120.0,265.0,375.0,3.0,4.0,,553.0,1.0,1.0,33.0,7.0,,29.0,410.0,2.0,385.0,7.0,3.0,25.0,482.0,,,,5.0,10.0,12.0,13.0,15.0,0.0,,,4.0,,3.0,,3.0,1.0,1.0,,,,,,,,2.0,4.0,1.0,,,1.0,1.0,,2.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,Forward,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,e3mwjkfs86jtko5qiqecqy7tg,E. Butera,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,AFC Ajax,ctp8zu9j5xq6ra8f2n3ybfn6c,M. Carrizo,Forward,7,2.0,,2.0,3.0,5.0,,5.0,,5.0,1.0,4.0,12.0,1.0,,3.0,1.0,1.0,,3.0,1.0,2.0,,,3.0,,9.0,,3.0,2.0,1.0,,,,,,3.0,,,1.0,,1.0,8.0,5.0,3.0,7.0,1.0,,2.0,27.0,1.0,,1.0,,,6.0,9.0,,8.0,1.0,1.0,1.0,24.0,2.0,1.0,1.0,,,3.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
