equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
Athletic Club,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/athletic-club/3czravw89omgc9o4s0w3l1bg5,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3czravw89omgc9o4s0w3l1bg5,3czravw89omgc9o4s0w3l1bg5,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=3czravw89omgc9o4s0w3l1bg5&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W377cf3124499b8a9241a97115db7e30477384eaa4,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=3czravw89omgc9o4s0w3l1bg5&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ef5f4c303bf05b0017c213e5289f5fcf7cfd8c28,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=3czravw89omgc9o4s0w3l1bg5&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3816a8817044e3d313390e69f08f5f1a678c036ff,Athletic_Club
CA Osasuna,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/ca-osasuna/2l0ldgiwsgb8d6y3z0sfgjzyj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2l0ldgiwsgb8d6y3z0sfgjzyj,2l0ldgiwsgb8d6y3z0sfgjzyj,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=2l0ldgiwsgb8d6y3z0sfgjzyj&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34a475b3f11c6e725dcbacc809216ce7ccaf25206,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=2l0ldgiwsgb8d6y3z0sfgjzyj&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W375de550d5978448c2e4f3cfbb206199c3e891263,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=2l0ldgiwsgb8d6y3z0sfgjzyj&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39195774762ed0bae112b8b68807a01becd6d0035,CA_Osasuna
Club Atlético de Madrid,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/club-atlético-de-madrid/4ku8o6uf87yd8iecdalipo6wd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4ku8o6uf87yd8iecdalipo6wd,4ku8o6uf87yd8iecdalipo6wd,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4ku8o6uf87yd8iecdalipo6wd&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3dd53d05ccdb1149f36ad599f1880c16e2b4fddb0,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4ku8o6uf87yd8iecdalipo6wd&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3db284c6dbd108422f52742295e841cd7386648d3,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4ku8o6uf87yd8iecdalipo6wd&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3afda0bae3eca98d2c96e56a807c1e25a5ea7566e,Club_Atlético_de_Madrid
Deportivo Alavés,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/deportivo-alavés/4dtdjgnpdq9uw4sdutti0vaar,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4dtdjgnpdq9uw4sdutti0vaar,4dtdjgnpdq9uw4sdutti0vaar,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4dtdjgnpdq9uw4sdutti0vaar&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a524d8d5b430787297576ed5ed4add63f73c23a8,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4dtdjgnpdq9uw4sdutti0vaar&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bcf6deea12f32c5f9719323aa5226badf30480a2,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4dtdjgnpdq9uw4sdutti0vaar&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36d0fb6c81bed72e03d5981c9f8ee3ebbd0753321,Deportivo_Alavés
Elche CF,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/elche-cf/4yg9ttzw0m51048doksv8uq5r,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4yg9ttzw0m51048doksv8uq5r,4yg9ttzw0m51048doksv8uq5r,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4yg9ttzw0m51048doksv8uq5r&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31dea8e0b1c041e8b9e2f2ab0777ee5c0952a1b1e,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4yg9ttzw0m51048doksv8uq5r&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d5a0fb10c36630cadaff387933a35888df815b7e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4yg9ttzw0m51048doksv8uq5r&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f266805b595f093155a01effc59046180ce149c4,Elche_CF
FC Barcelona,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/fc-barcelona/agh9ifb2mw3ivjusgedj7c3fe,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=agh9ifb2mw3ivjusgedj7c3fe,agh9ifb2mw3ivjusgedj7c3fe,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=agh9ifb2mw3ivjusgedj7c3fe&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fedbb2d29f178e04a85dbf01277dc8f924371111,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=agh9ifb2mw3ivjusgedj7c3fe&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e396d4ef272a3c301ed7ba176afcd1a99d223a26,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=agh9ifb2mw3ivjusgedj7c3fe&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W343661dd22d45ad571f67328ca253d9c5c31b6ff9,FC_Barcelona
Getafe CF,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/getafe-cf/1n1j0wsl763lq7ee1k0c11c02,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1n1j0wsl763lq7ee1k0c11c02,1n1j0wsl763lq7ee1k0c11c02,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1n1j0wsl763lq7ee1k0c11c02&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e98f1c78879caea42678cd5f4965d96c227ebf86,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=1n1j0wsl763lq7ee1k0c11c02&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31525ad8a34b25964aa87701e07ddaf53a5503ca1,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=1n1j0wsl763lq7ee1k0c11c02&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c657e03d8c9ae2ffab991f84891ff84683a9e58c,Getafe_CF
Girona FC,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/girona-fc/7h7eg7q7dbwvzww78h9d5eh0h,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7h7eg7q7dbwvzww78h9d5eh0h,7h7eg7q7dbwvzww78h9d5eh0h,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=7h7eg7q7dbwvzww78h9d5eh0h&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a432a2a19ad028ea330e76dc543f61ead870681b,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=7h7eg7q7dbwvzww78h9d5eh0h&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39a178925712242a18905f4f0bf9a8ee1f92520c8,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=7h7eg7q7dbwvzww78h9d5eh0h&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bf5c577420dc6e75d139244c77054493be0360ff,Girona_FC
Levante UD,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/levante-ud/4grc9qgcvusllap8h5j6gc5h5,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4grc9qgcvusllap8h5j6gc5h5,4grc9qgcvusllap8h5j6gc5h5,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4grc9qgcvusllap8h5j6gc5h5&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W380f49bb1179831f20c52aad530cf3ccfed495a3a,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4grc9qgcvusllap8h5j6gc5h5&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b95a77312b3dcc57d3311ee0aa7f158dd827139e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=4grc9qgcvusllap8h5j6gc5h5&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aae4ce4b82826c692a76b0c0cc88ca8a8cd8362f,Levante_UD
Rayo Vallecano de Madrid,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/rayo-vallecano-de-madrid/3budh3j9xivsid3ptm8ptpy4k,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3budh3j9xivsid3ptm8ptpy4k,3budh3j9xivsid3ptm8ptpy4k,80zg2v1cuqcfhphn56u4qpyqc,primera-división-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=3budh3j9xivsid3ptm8ptpy4k&tmcl=80zg2v1cuqcfhphn56u4qpyqc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3dd139e55145f2f03ed8f9a746b69401c8593dd92,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=3budh3j9xivsid3ptm8ptpy4k&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34245256829db40daee33d5b80e44ff1eabb3d7af,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=80zg2v1cuqcfhphn56u4qpyqc&ctst=3budh3j9xivsid3ptm8ptpy4k&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ea7980792fb92eba951fcc7256cc7bb807843423,Rayo_Vallecano_de_Madrid
