equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
AS Monaco FC,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/as-monaco-fc/4t4hod56fsj7utpjdor8so5q6,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4t4hod56fsj7utpjdor8so5q6,4t4hod56fsj7utpjdor8so5q6,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4t4hod56fsj7utpjdor8so5q6&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ce676dec6dc8d3fa7f5eb43efe0ebdf0fe803134,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=4t4hod56fsj7utpjdor8so5q6&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32b2ea584fc24168850efaa334e245e918a632f46,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=4t4hod56fsj7utpjdor8so5q6&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W357fccc2614195477a777e17c992372382c8b93fe,AS_Monaco_FC
Angers Sporting Club de l'Ouest,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/angers-sporting-club-de-l-ouest/75qj99fhg5c0ztj2tva5u4uii,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=75qj99fhg5c0ztj2tva5u4uii,75qj99fhg5c0ztj2tva5u4uii,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=75qj99fhg5c0ztj2tva5u4uii&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3896e7f127118cfe48d21e76cccfc869467aaec94,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=75qj99fhg5c0ztj2tva5u4uii&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d9d386367aea9a2a0f1810bc82f914b65e114552,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=75qj99fhg5c0ztj2tva5u4uii&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38f07656dbca7a09b57a0feaaed8c1ff2564f8e92,Angers_Sporting_Club_de_l'Ouest
Association Jeunesse Auxerroise,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/association-jeunesse-auxerroise/9bxav814mkuhueiyivyive82d,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9bxav814mkuhueiyivyive82d,9bxav814mkuhueiyivyive82d,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=9bxav814mkuhueiyivyive82d&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W370995f5c10d4aed88f3bfdf7e4a403abf73f51c6,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=9bxav814mkuhueiyivyive82d&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W348df35f750526cdd579e91898e17879006ba33c9,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=9bxav814mkuhueiyivyive82d&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38aaa3990379f41b5cfdd36fafd0859a2da500147,Association_Jeunesse_Auxerroise
FC Lorient,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/fc-lorient/70nn27vgkt6l48lvv5e66q7ww,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=70nn27vgkt6l48lvv5e66q7ww,70nn27vgkt6l48lvv5e66q7ww,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=70nn27vgkt6l48lvv5e66q7ww&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38c0a398b8b8d34f1e8e6f2f6c1770b03232a5306,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=70nn27vgkt6l48lvv5e66q7ww&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fb80a4ec749f78bd81b0f3490346405de56b6fde,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=70nn27vgkt6l48lvv5e66q7ww&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34e7cd894b64ed2243aa8114f109e7535fa6d6916,FC_Lorient
FC Metz,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/fc-metz/2khen2a38l2hkx33s73pehl6o,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2khen2a38l2hkx33s73pehl6o,2khen2a38l2hkx33s73pehl6o,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=2khen2a38l2hkx33s73pehl6o&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W377d748dc23d1a54dbcbfed1ff2e3e9ab2e388618,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=2khen2a38l2hkx33s73pehl6o&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a99b7ef5ef8ed25d491788aed456d631ab5e7997,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=2khen2a38l2hkx33s73pehl6o&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f1c8589b1beb80e3d9e61fc5982c1d7f093d679b,FC_Metz
FC Nantes,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/fc-nantes/750ustvk4jfqmo8q4gnrcxy7z,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=750ustvk4jfqmo8q4gnrcxy7z,750ustvk4jfqmo8q4gnrcxy7z,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=750ustvk4jfqmo8q4gnrcxy7z&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3df2b4f3e2fcb771d168a488fea3743f6b0dba268,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=750ustvk4jfqmo8q4gnrcxy7z&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3abd6685d7672be965018cb1324d0a76b64e7eee0,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=750ustvk4jfqmo8q4gnrcxy7z&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fb5cfec10d4372d27a4086fb960973ab9dff7ec6,FC_Nantes
Le Havre AC,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/le-havre-ac/23pqcgxu1tip265hbe01kszbt,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=23pqcgxu1tip265hbe01kszbt,23pqcgxu1tip265hbe01kszbt,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=23pqcgxu1tip265hbe01kszbt&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e2c83b7badc2ea1f84140432dfb3e20245af75a0,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=23pqcgxu1tip265hbe01kszbt&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3688bbdf4d04dd401e38fded387f34a28a8b549b5,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=23pqcgxu1tip265hbe01kszbt&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b7b6ecc38d1b085716e0a1fe803ef166ea0dd72e,Le_Havre_AC
Lille OSC,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/lille-osc/be2k34rut1lz79jxenabttqlc,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=be2k34rut1lz79jxenabttqlc,be2k34rut1lz79jxenabttqlc,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=be2k34rut1lz79jxenabttqlc&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W364c2331beb706417beeee9d8c70314296542db9d,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=be2k34rut1lz79jxenabttqlc&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31126a0367cfde624861948934f0c152d9abf7976,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=be2k34rut1lz79jxenabttqlc&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35a4b414930cae51d3c79848ed3fd8bb2ed6167c5,Lille_OSC
OGC Nice Côte d'Azur,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/ogc-nice-côte-d-azur/bx0cdmzr2gwr70ez72dorx82p,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=bx0cdmzr2gwr70ez72dorx82p,bx0cdmzr2gwr70ez72dorx82p,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=bx0cdmzr2gwr70ez72dorx82p&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32019ddb6eee5d298f95dbeffb203f425786ec6be,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=bx0cdmzr2gwr70ez72dorx82p&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32f7de1e1584ed96f339cae87d341fe7c2ab490c4,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=bx0cdmzr2gwr70ez72dorx82p&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b4c113f078c379f5d91e7d5677ead1d83835b38a,OGC_Nice_Côte_d'Azur
Olympique Lyonnais,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/teams/olympique-lyonnais/121le8unjfzug3iu9pgkqa1c7,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=121le8unjfzug3iu9pgkqa1c7,121le8unjfzug3iu9pgkqa1c7,dbxs75cag7zyip5re0ppsanmc,ligue-1-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=121le8unjfzug3iu9pgkqa1c7&tmcl=dbxs75cag7zyip5re0ppsanmc&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W335e75388b3c7a3f26dd59028fa9cd5ce0de9a56f,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=121le8unjfzug3iu9pgkqa1c7&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bd278f63c0bb7f657a72ee779ae77c7ac8e9ad29,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dbxs75cag7zyip5re0ppsanmc&ctst=121le8unjfzug3iu9pgkqa1c7&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3086d140142055e2a66758acb4c5b07a39e412f4e,Olympique_Lyonnais
