liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Corners into Box,Successful Crosses & Corners,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Goals Openplay,Hit Woodwork,Left Foot Goals,Assists (Intentional),Goal Assists,Penalties Conceded,Successful Crosses open play,Successful Launches,Throw Ins to Opposition Player,Total Big Chances Created,Clearances Off the Line,Total Big Chances Saved,Foul Won Penalty,Unsuccessful lay-offs,Total Big Chances Missed,Last Player Tackle,GK Successful Distribution,Goal Kicks,Attempts from Set Pieces,Headed Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Second Goal Assists,Own Goal Scored,Straight Red Cards,Total Red Cards,Goals from Outside Box,Red Cards - 2nd Yellow,Penalties Off Target,Direct Setpiece Goals,Set Pieces Goals,Crosses not Claimed,Other Goals
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,Midfielder,10,13,4,9,21,136,4,3,201,2,6,5,119,59,60,177,203,12,21,2,21,20,1,2,106,55,51,1,16,9,180,1,687,1,2,2,3,120,27,14,74,2,190,9,5,6,12,8,9,2,3,15,23,23,600,305,319,598,7,17,5,5,1079,30,2,12,19,12,143,709,11,621,24,13,88,916,3,7,3,18,5,18,69,26,70,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,bt2pm0it9f1o216uxo3abfpbd,J. Allevinah,Forward,18,1,,1,6,9,1,1,15,,,,15,8,7,21,8,,6,1,1,1,,1,14,8,6,,,1,15,1,38,1,,,,6,2,2,11,,6,1,3,1,,,6,,,1,,1,34,15,19,33,1,,,,127,7,1,1,,4,16,38,4,34,1,7,4,66,,1,1,6,,,4,1,4,,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,Defender,2,39,14,25,25,135,2,2,259,6,,5,147,68,79,254,374,21,25,,27,24,3,,108,54,54,1,31,13,507,,1067,2,,,1,142,31,18,91,,88,16,6,1,24,7,1,,11,2,2,42,933,387,591,925,9,27,,138,2019,9,,65,32,16,211,1104,7,967,36,12,137,1539,,27,27,3,16,44,121,43,93,7,,,0,,,,3,3,1,11,3,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,7rvgrqf0ktsepvwpj0osy5pzp,A. Bamba,Defender,25,8,2,6,5,5,,3,13,,,,16,5,11,7,23,,5,,5,5,,,8,3,5,,3,,13,,48,,,,,5,1,1,6,,10,,,1,2,1,3,,,,,,33,16,20,36,,3,,4,190,,,8,1,3,20,51,1,36,3,,15,83,,1,1,,4,5,9,7,10,,,,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,dom1dzrvk7y4sd8puf8iztn11,H. Belkebla,Midfielder,93,35,16,19,32,185,2,8,257,8,,1,262,101,161,179,303,13,32,,46,41,5,,227,85,142,3,30,16,386,,1198,,,,3,94,44,22,143,,355,16,3,,32,5,,,1,18,19,28,1044,448,627,1046,26,45,,6,2790,36,,42,23,54,249,1229,3,1074,71,11,155,1639,,3,3,15,30,38,97,61,117,7,,,0,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,5vvhwzxwq395q3welimok3uqy,Y. Belkhdim,Midfielder,14,26,15,11,27,209,9,6,147,3,1,12,191,88,103,276,180,23,27,2,32,28,4,2,165,73,92,1,36,13,189,2,717,,,,2,66,48,20,83,,146,15,10,14,26,15,1,,6,5,30,22,603,287,328,587,18,41,,4,2149,26,1,23,29,29,204,724,24,609,59,38,115,1075,,36,36,13,10,18,99,52,97,5,0,2,2,2,,2,1,2,,6,1,,4,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,eouwziiusxkpmhn5m1fj9vyms,E. Biumla,Midfielder,24,12,8,4,8,9,,2,29,,,,36,20,16,4,47,3,8,,9,9,,,24,12,12,1,3,,59,,161,,,,,20,7,4,18,,50,,2,,3,3,5,,,,,3,140,23,121,141,3,4,,2,371,2,,15,8,5,34,165,2,144,7,,21,224,,1,1,1,2,8,6,16,13,,,,0,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,99yx7t2j59cyia4bkpi59q1as,O. Camara,Defender,4,99,48,51,31,44,1,24,247,10,,1,183,77,106,27,351,9,31,1,37,32,5,1,84,29,55,,31,4,541,1,1297,,,,3,104,18,14,108,1,392,4,7,5,30,2,1,,,3,,41,1173,242,961,1162,16,30,2,3,2629,4,,169,21,7,149,1328,12,1203,46,17,125,1714,,3,3,2,38,59,82,46,66,3,0,1,0,,,,,,1,,8,,,,1,,,,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,dvtd4xsoihe7srn69irnng5w5,P. Capelle,Midfielder,15,12,7,5,15,33,3,1,54,,3,2,80,43,37,89,62,8,15,,9,9,,,68,36,32,,6,4,71,,188,,,,1,25,15,9,31,,27,5,4,1,5,5,10,1,3,3,2,11,152,87,71,144,6,13,1,2,570,12,,9,14,11,70,193,5,155,19,4,38,306,2,9,6,2,3,5,35,12,33,2,,,0,,,,1,1,,2,4,,1,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Angers Sporting Club de l'Ouest,27u1slmp5wrly9oc6ju7ya87o,S. Cherif,Forward,11,51,34,17,19,63,10,,110,,,13,140,88,52,144,39,4,19,4,16,15,1,4,89,54,35,5,7,5,52,11,216,4,,,1,72,23,10,41,3,71,5,6,12,14,12,5,,1,11,17,1,159,78,91,167,5,3,1,,1164,42,2,2,15,16,150,225,18,168,8,44,57,428,,5,5,23,,1,45,17,56,3,3,1,1,4,,1,,,,1,,,1,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
