equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
AVS Futebol,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/avs-futebol/di8rq9fo3z0bnsx08jljhnnys,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=di8rq9fo3z0bnsx08jljhnnys,di8rq9fo3z0bnsx08jljhnnys,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=di8rq9fo3z0bnsx08jljhnnys&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fdd50c62af3c1561f5e73ab0714fda585ea051df,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=di8rq9fo3z0bnsx08jljhnnys&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fbc5de166109119f35149114f6d1014fada11f33,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=di8rq9fo3z0bnsx08jljhnnys&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d93fabd20ca25ece9f985f327636ad3a6da83b65,AVS_Futebol
CD Nacional,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/cd-nacional/99xu9ofwhlbp0lg1j4eiplgrg,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=99xu9ofwhlbp0lg1j4eiplgrg,99xu9ofwhlbp0lg1j4eiplgrg,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=99xu9ofwhlbp0lg1j4eiplgrg&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3980f0ddc4a623d41aa318bb0b11fee43576e874b,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=99xu9ofwhlbp0lg1j4eiplgrg&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33bc6ef5fac3ca1cd5f2cf056d8c6e8230e502825,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=99xu9ofwhlbp0lg1j4eiplgrg&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37677107a890f258fa48753e88c337513f667c345,CD_Nacional
CD Santa Clara,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/cd-santa-clara/cmbqc74mshg77ra7mywec2a6b,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=cmbqc74mshg77ra7mywec2a6b,cmbqc74mshg77ra7mywec2a6b,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=cmbqc74mshg77ra7mywec2a6b&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3af1a1d0281ab57cfc155059f6c6f98f9e36eb37b,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=cmbqc74mshg77ra7mywec2a6b&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35909637870af8a9862ae1829e769661950603e1e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=cmbqc74mshg77ra7mywec2a6b&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3596cc7f3fb8937af106c59213567c031ab873d1e,CD_Santa_Clara
CD Tondela,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/cd-tondela/a4hzxqvnwxe9frlt8fvxfmppa,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a4hzxqvnwxe9frlt8fvxfmppa,a4hzxqvnwxe9frlt8fvxfmppa,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=a4hzxqvnwxe9frlt8fvxfmppa&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3badfa6ae98a8c21cc24ab6be6a691f24cb579ac2,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=a4hzxqvnwxe9frlt8fvxfmppa&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c56a4a0090d3751dfeb68131014e5f3a9800029e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=a4hzxqvnwxe9frlt8fvxfmppa&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3199051116dfc6705bf16def0d1d1788eb21329d3,CD_Tondela
Casa Pia AC,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/casa-pia-ac/ewsf6evtguu9j7k6js4tlgl89,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ewsf6evtguu9j7k6js4tlgl89,ewsf6evtguu9j7k6js4tlgl89,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ewsf6evtguu9j7k6js4tlgl89&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3286e07d989b65679f17ba31de66c4d5d4e668a5e,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=ewsf6evtguu9j7k6js4tlgl89&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33f27a175a8fd4f51f9065ff824f469cbaee4a0f8,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=ewsf6evtguu9j7k6js4tlgl89&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32e6360236929329f10026d3833ecff2f5be70972,Casa_Pia_AC
Club Foot Estrela,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/club-foot-estrela/85nuf5511v5omdretfoh0c4k4,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=85nuf5511v5omdretfoh0c4k4,85nuf5511v5omdretfoh0c4k4,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=85nuf5511v5omdretfoh0c4k4&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d7012b6d7ee29de24665b80a853c610b9271bab5,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=85nuf5511v5omdretfoh0c4k4&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37f55f0c5a8b30068a30279b1cbd2a4aef31e0976,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=85nuf5511v5omdretfoh0c4k4&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W315c823982a87bd39271afff328e54dfab02918d8,Club_Foot_Estrela
FC Alverca,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/fc-alverca/2f40cprg8nv4stxq2o4yxpx54,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2f40cprg8nv4stxq2o4yxpx54,2f40cprg8nv4stxq2o4yxpx54,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=2f40cprg8nv4stxq2o4yxpx54&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35af348a60615a1775ad814e7a7307c85b0463f3d,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=2f40cprg8nv4stxq2o4yxpx54&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d98734b94268bde522258b9a618cd96b1d7f1b0d,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=2f40cprg8nv4stxq2o4yxpx54&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W338d7cc1a0644f6ea4dc9dba23e78f93bb4f137bd,FC_Alverca
FC Arouca,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/fc-arouca/dich5v7sw466smbqap0d9rbyj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=dich5v7sw466smbqap0d9rbyj,dich5v7sw466smbqap0d9rbyj,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=dich5v7sw466smbqap0d9rbyj&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W386268e7c206f2cbab445de16e7cd971dae1a9bf0,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=dich5v7sw466smbqap0d9rbyj&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3559bfd0ca8e0281275e18483ce5da731aeea9517,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=dich5v7sw466smbqap0d9rbyj&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W395bbb0ac9db8beed2c6ab16681d50c8bd2819e4d,FC_Arouca
FC Famalicão,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/fc-famalicão/5c0sf1eaipcxvdw9o22of2jdp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5c0sf1eaipcxvdw9o22of2jdp,5c0sf1eaipcxvdw9o22of2jdp,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=5c0sf1eaipcxvdw9o22of2jdp&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34d4a8f85e017f7b77853dffb9fb44bcaa5b3beef,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=5c0sf1eaipcxvdw9o22of2jdp&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3877669607f41b1619ca26afe867dbe185c85b849,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=5c0sf1eaipcxvdw9o22of2jdp&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31e0a6871b6669968c72e435a73cdc88a63564c45,FC_Famalicão
FC Porto,https://www.scoresway.com/en_GB/soccer/primeira-liga-2025-2026/7l4z25o4hc0fmj9rdspcisdn8/teams/fc-porto/66bsnl0zjb7l5akwo00h0y5me,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=66bsnl0zjb7l5akwo00h0y5me,66bsnl0zjb7l5akwo00h0y5me,7l4z25o4hc0fmj9rdspcisdn8,primeira-liga-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=66bsnl0zjb7l5akwo00h0y5me&tmcl=7l4z25o4hc0fmj9rdspcisdn8&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35b35b1ad631f4b7f20319c0bb25b600583beb3f2,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=66bsnl0zjb7l5akwo00h0y5me&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3dd16513c83046aea7bc00aecf366a23cf24ba994,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7l4z25o4hc0fmj9rdspcisdn8&ctst=66bsnl0zjb7l5akwo00h0y5me&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f2dc65fadfb2d70c64af42af989d5cff51535b77,FC_Porto
