root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,PutThrough/Blocked Distribution Won,Touches,Fifty Fifty,Attempts from Set Pieces,Substitute Off,Starts,Total Fouls Conceded,Goals Conceded,Shots On Target ( inc goals ),Forward Passes,PutThrough/Blocked Distribution,Straight Red Cards,Unsuccessful Passes Opposition Half,Aerial Duels won,Key Passes (Attempt Assists),Goals Conceded Outside Box,Successful Fifty Fifty,Clean Sheets,Successful Short Passes,Successful Passes Own Half,Duels won,Successful Launches,Shots Off Target (inc woodwork),Successful Passes Opposition Half,Ground Duels won,Total Losses Of Possession,Successful Dribbles,Unsuccessful Long Passes,Duels lost,Yellow Cards,Goals Conceded Inside Box,Goal Assists,Tackles Won,Time Played,Penalties Conceded,Total Touches In Opposition Box,Duels,Interceptions,Offsides,Blocked Shots,Unsuccessful Launches,Successful Open Play Passes,Rightside Passes,Throw Ins to Own Player,Recoveries,Unsuccessful Short Passes,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Corners Won,Total Shots,Open Play Passes,Successful Long Passes,Backward Passes,Tackles Lost,Total Clearances,Total Red Cards,Blocks,Aerial Duels,Penalty Goals Conceded,Aerial Duels lost,Handballs conceded,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Games Played,Total Passes,Total Fouls Won,Times Tackled,Total Tackles,Foul Attempted Tackle,Index,Leftside Passes,Winning Goal,Successful Lay-offs,Substitute On,Unsuccessful lay-offs,Unsuccessful Dribbles,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Overruns,Throw Ins to Opposition Player,Foul Won Penalty,Successful Crosses & Corners,Successful Crosses open play,Right Foot Goals,Unsuccessful Corners into Box,Headed Goals,Goals,Assists (Intentional),Corners Taken (incl short corners),Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Red Cards - 2nd Yellow,Hit Woodwork,Penalty Goals,Penalties Taken,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Drops,Saves made - parried,Saves Made from Outside Box,Saves Made from Inside Box,GK Unsuccessful Distribution,Penalties Faced,GK Successful Distribution,Catches,Saves from Penalty,Goalkeeper Smother,Saves made - caught,Punches,Saves Made,Penalties Saved,Goal Kicks,Clearances Off the Line,Second Goal Assists,Own Goal Scored,Crosses not Claimed,Other Goals,Penalties Off Target,Last Man Tackle,Last Player Tackle
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,c2wiaju4etayjlp12x9ba3kkp,C. Awaziem,Defender,5,89.0,7.0,1413.0,67.0,1.0,2.0,27.0,39.0,30.0,1.0,440.0,12.0,2.0,137.0,75.0,3.0,3.0,39.0,8.0,774.0,632.0,128.0,9.0,10.0,248.0,53.0,241.0,3.0,118.0,99.0,9.0,27.0,1.0,17.0,2253.0,2.0,19.0,227.0,55.0,2.0,2.0,37.0,808.0,418.0,2.0,115.0,108.0,27.0,226.0,1.0,11.0,1012.0,106.0,48.0,9.0,119.0,2.0,10.0,120.0,3.0,45.0,1.0,107.0,880.0,54.0,27.0,1106.0,25.0,4.0,26.0,14.0,10.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,2ud2m59wpnl79bdspv50k4efo,Fran Pereira,Midfielder,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,7cjlewnhcjtycqfbj8mkc9rs9,J. Benguché,Forward,9,5.0,2.0,202.0,13.0,,2.0,4.0,18.0,10.0,2.0,33.0,6.0,,41.0,43.0,6.0,2.0,3.0,,59.0,9.0,60.0,,6.0,51.0,17.0,91.0,5.0,1.0,76.0,2.0,8.0,1.0,,573.0,,20.0,136.0,1.0,4.0,4.0,,54.0,28.0,1.0,12.0,41.0,14.0,42.0,5.0,8.0,96.0,1.0,25.0,,4.0,,,82.0,1.0,39.0,2.0,54.0,60.0,37.0,14.0,102.0,12.0,22.0,,4.0,10.0,16.0,0.0,2.0,10.0,1.0,15.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,Defender,2,76.0,19.0,1507.0,58.0,,11.0,30.0,24.0,38.0,3.0,259.0,51.0,,134.0,23.0,17.0,4.0,25.0,7.0,647.0,392.0,113.0,7.0,4.0,300.0,90.0,328.0,10.0,29.0,91.0,3.0,34.0,1.0,33.0,2514.0,1.0,37.0,204.0,54.0,,,21.0,656.0,37.0,186.0,126.0,146.0,31.0,175.0,5.0,7.0,827.0,30.0,212.0,15.0,60.0,,9.0,51.0,5.0,28.0,3.0,153.0,677.0,63.0,31.0,852.0,32.0,27.0,48.0,11.0,10.0,344.0,0.0,,1.0,,15.0,35.0,35.0,,3.0,53.0,1.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,Defender,19,68.0,11.0,1339.0,71.0,,3.0,21.0,27.0,31.0,8.0,292.0,35.0,,175.0,40.0,12.0,2.0,36.0,5.0,478.0,240.0,152.0,8.0,5.0,266.0,112.0,379.0,20.0,48.0,112.0,3.0,29.0,1.0,27.0,1968.0,1.0,32.0,264.0,44.0,3.0,7.0,19.0,483.0,269.0,161.0,128.0,138.0,28.0,186.0,17.0,13.0,664.0,23.0,108.0,18.0,39.0,,1.0,71.0,5.0,31.0,1.0,193.0,501.0,81.0,28.0,687.0,48.0,44.0,45.0,13.0,10.0,18.0,1.0,,7.0,,25.0,56.0,57.0,1.0,4.0,57.0,,5.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,8dfk2k0q9klgn7m400bp52pec,Gonçalo Oliveira,Forward,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,bcjc4ole1m65l48zpcptweh62,J. De Santis,Forward,27,,,14.0,3.0,,,,1.0,,,2.0,,1.0,2.0,2.0,1.0,,2.0,,5.0,1.0,5.0,,1.0,4.0,3.0,4.0,2.0,,2.0,1.0,,,,21.0,,2.0,7.0,,,,,5.0,1.0,,,2.0,3.0,2.0,,1.0,7.0,,2.0,,,1.0,,3.0,,1.0,,4.0,5.0,1.0,3.0,7.0,1.0,,,1.0,10.0,2.0,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,7snj7sr1st43ehs0azitra0yy,C. Devenish,Defender,42,49.0,5.0,1124.0,50.0,,7.0,24.0,12.0,30.0,1.0,323.0,7.0,1.0,83.0,18.0,4.0,3.0,30.0,5.0,662.0,550.0,54.0,19.0,4.0,181.0,36.0,153.0,3.0,75.0,50.0,2.0,27.0,,10.0,2097.0,2.0,6.0,104.0,40.0,,,43.0,690.0,101.0,16.0,80.0,55.0,27.0,130.0,2.0,5.0,812.0,68.0,48.0,5.0,95.0,1.0,11.0,51.0,5.0,33.0,2.0,53.0,730.0,17.0,27.0,860.0,18.0,1.0,15.0,7.0,10.0,388.0,0.0,,3.0,,1.0,2.0,2.0,1.0,1.0,12.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,aoe90w0oopw8h5ipktpmme9cl,A. Elis,Forward,17,16.0,12.0,1011.0,110.0,,6.0,28.0,59.0,41.0,28.0,89.0,39.0,,151.0,70.0,26.0,3.0,53.0,4.0,340.0,85.0,181.0,,15.0,263.0,111.0,364.0,40.0,8.0,279.0,4.0,38.0,6.0,10.0,2549.0,,109.0,460.0,10.0,18.0,7.0,2.0,301.0,125.0,9.0,69.0,140.0,31.0,148.0,24.0,43.0,448.0,2.0,165.0,5.0,27.0,,1.0,182.0,5.0,112.0,4.0,278.0,342.0,167.0,31.0,490.0,57.0,96.0,15.0,21.0,10.0,111.0,0.0,21.0,3.0,8.0,42.0,19.0,19.0,,11.0,,,6.0,6.0,3.0,,,8.0,5.0,,5.0,8.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2020-2021,Boavista FC,Boavista_FC,48id0mb0ulahkoi0iraatn90q,K. Fidelis,Forward,44,2.0,1.0,40.0,1.0,,,,2.0,1.0,,7.0,2.0,,9.0,1.0,,,1.0,,12.0,6.0,6.0,,,7.0,5.0,19.0,2.0,2.0,6.0,,1.0,,,77.0,,2.0,12.0,,,,1.0,13.0,8.0,1.0,7.0,6.0,6.0,8.0,,,21.0,1.0,3.0,1.0,,,,2.0,,1.0,,10.0,13.0,5.0,6.0,21.0,2.0,2.0,1.0,1.0,10.0,3.0,0.0,,6.0,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
