liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goal Assists,Goalkeeper Smother,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Saved,Assists (Intentional),Corners Taken (incl short corners),Goals Openplay,Goals from Outside Box,Handballs conceded,Left Foot Goals,Overruns,Successful Corners into Box,Successful Lay-offs,Through balls,Times Tackled,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful lay-offs,Foul Won Penalty,Right Foot Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Red Cards,Attempts from Set Pieces,Red Cards - 2nd Yellow,Penalties Faced,Second Goal Assists,Hit Woodwork,Penalties Taken,Penalty Goals,Penalties Off Target,Own Goal Scored,Other Goals,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty
Portugal_Primeira_Liga,2025-2026,AVS Futebol,75znincjirp1z8bcw9nhztxat,Aderllan Santos,Defender,33,62,16,46,17,19,3,9,71,2,2,102,27,75,28,145,5,3,17,3,1,17,14,3,1,40,11,29,1,12,1,2,138,1,384,2,31,5,4,42,103,1,8,2,12,3,5,1,1,2,3,27,303,73,245,290,11,13,2,1032,1,107,8,3,94,405,10,317,24,18,88,597,29,61,70,18,27,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,6ychdeky58nj22ykambacsp62,Adriel,Goalkeeper,1,5,1,4,16,,1,,35,4,1,10,2,8,1,346,,128,16,159,,24,21,3,,5,1,4,,,1,1,97,,245,,7,,,146,72,2,,,16,,,,,,39,126,175,90,199,163,,1,,1440,,27,,3,229,515,,289,1,1,226,679,90,222,199,27,4,2,,,0,12,1,2,82,1,1,9,62,40,19,2,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,4yoe3jaz8puweua5e2igmuzo4,Afonso Silva,Defender,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,4wtzkgtuu5ty0hsc8jd9vi6tw,T. Akinsola,Forward,11,46,33,13,34,105,15,1,323,2,18,280,170,110,513,138,10,,34,,1,56,50,6,,234,137,97,,15,27,,148,9,430,4,196,38,16,116,42,31,24,12,28,13,6,25,13,43,1,18,318,238,107,302,5,15,6,2442,3,23,22,34,395,433,36,320,20,57,113,1008,6,15,149,26,98,2,1,0,0,,,,,4,,,,,,,,,3,20,1,1,2,1,11,8,15,3,100,6,12,62,47,49,3,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,aso41hpuq5oh825n83boc5x0q,Ángel Algobia,Midfielder,27,14,7,7,21,63,5,6,55,1,5,86,38,48,125,99,9,,21,,1,27,25,2,1,72,31,41,,2,8,,97,,343,2,25,19,12,53,90,8,3,3,15,11,6,1,1,5,1,16,260,124,143,250,15,17,2,1080,,22,14,4,121,349,6,266,32,17,83,508,4,16,72,21,67,,1,0,0,,,,,,,,,,,,,,,,1,,,,,,11,2,10,2,,10,10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,7b44u9pw2ea548shywksv2xp0,Antonio Machado,Forward,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,3db08lzpilp3av7onvfyekd90,S. Bane,Defender,4,17,6,11,9,23,1,3,44,,,47,19,28,38,84,,,9,,1,16,15,1,1,30,13,17,,2,2,1,91,,224,4,25,6,2,17,33,2,3,2,6,1,3,1,1,3,2,15,186,70,123,177,4,2,21,587,1,21,13,8,58,231,5,192,6,7,39,329,7,11,26,16,28,1,1,0,0,,,,,,,,,,,,,,,,1,,3,,,,,,3,,,3,3,1,,,1,10,,4,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,aissbbcnwyr06fhgfamxo9j2t,Bruno Lourenço,Forward,17,9,6,3,7,21,1,,19,,1,33,17,16,61,24,1,,7,,,9,9,,,24,11,13,,,4,,25,,80,2,8,4,2,13,18,4,3,1,2,2,5,2,2,2,,1,58,41,27,65,1,4,,233,2,,4,6,52,88,4,66,5,12,22,148,,1,29,7,21,,,,0,,,,,,,,,,,,,,,7,,,1,,1,,5,,5,,7,14,5,3,1,,,,,1,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,8hyaww1d0p9871u8o8zk8f9at,Carlos Ponck,Defender,26,32,13,19,16,22,3,9,62,1,1,73,38,35,23,125,5,,16,,,26,22,4,,41,25,16,,10,2,1,93,,287,2,24,17,9,44,63,2,1,,9,1,7,,,3,4,10,228,61,180,231,4,8,4,921,,69,15,2,75,303,1,241,12,12,62,447,17,31,45,17,31,3,,,0,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,2,,,,4,,1,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,AVS Futebol,7snj7sr1st43ehs0azitra0yy,C. Devenish,Defender,42,49,23,26,26,57,,16,214,2,2,127,57,70,37,320,4,7,26,8,,52,46,6,,78,34,44,,36,5,2,221,1,835,6,96,14,10,89,278,5,3,1,26,2,,1,1,6,12,64,698,160,576,671,10,11,4,2165,,185,20,17,162,876,4,735,21,9,141,1233,40,81,103,40,60,6,,,0,,,,1,,,,,,,,,1,,,,,,,,,,,4,,,2,2,2,,,,,,,1,1,1,,,,,,,,,,,,,,
