equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
AC Milan,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/ac-milan/9dntj5dioj5ex52yrgwzxrq9l,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9dntj5dioj5ex52yrgwzxrq9l,9dntj5dioj5ex52yrgwzxrq9l,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=9dntj5dioj5ex52yrgwzxrq9l&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31d889be8c32fa3b976b1bca2c9daedfe34e22261,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=9dntj5dioj5ex52yrgwzxrq9l&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38db0ce851992926e10c3b4fea37c21a3efb013a2,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=9dntj5dioj5ex52yrgwzxrq9l&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37394b2ab27ad7eb4533f9c14658a4a7e51a16745,AC_Milan
ACF Fiorentina,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/acf-fiorentina/4raiad4l2j5lkfaz92pk4osb,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4raiad4l2j5lkfaz92pk4osb,4raiad4l2j5lkfaz92pk4osb,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4raiad4l2j5lkfaz92pk4osb&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34d492956d2ff271ef7ea714acf7f6cf1c2c2da1c,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=4raiad4l2j5lkfaz92pk4osb&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33c7a52506e660527bb00a59c5c49cb7b70ba7531,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=4raiad4l2j5lkfaz92pk4osb&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ae794d4a8e4d83c030cb2fae20327be9aaefb919,ACF_Fiorentina
AS Roma,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/as-roma/2tk2l9sgktwc9jhzqdd4mpdtb,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2tk2l9sgktwc9jhzqdd4mpdtb,2tk2l9sgktwc9jhzqdd4mpdtb,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=2tk2l9sgktwc9jhzqdd4mpdtb&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W323ad52c2174d2b1b4e076afb554a8554b306ecd2,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=2tk2l9sgktwc9jhzqdd4mpdtb&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32176a54e70f0f57e0463c032cfdebbd2254a2ed6,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=2tk2l9sgktwc9jhzqdd4mpdtb&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38285685dfff637a50f408aef225fffab73381758,AS_Roma
Atalanta Bergamasca Calcio,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/atalanta-bergamasca-calcio/e75syeuawg3ql8nwpi3vr2btz,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e75syeuawg3ql8nwpi3vr2btz,e75syeuawg3ql8nwpi3vr2btz,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=e75syeuawg3ql8nwpi3vr2btz&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a89647a6d05b7f32f707f17ff3f112c83e514dba,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=e75syeuawg3ql8nwpi3vr2btz&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fac93cafa2071cf3673710b676ac7d7f2f3c5da8,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=e75syeuawg3ql8nwpi3vr2btz&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b4592ec4ae85106abc411052afa30460cb97017b,Atalanta_Bergamasca_Calcio
Bologna FC 1909,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/bologna-fc-1909/ej5er0oyngdw138yuumwqbyqt,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ej5er0oyngdw138yuumwqbyqt,ej5er0oyngdw138yuumwqbyqt,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ej5er0oyngdw138yuumwqbyqt&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37985cb287d8d34f98d947c84dd4e2c7db6244699,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=ej5er0oyngdw138yuumwqbyqt&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aeadfa2001dc7616506b0a8b62e629df3b32a4eb,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=ej5er0oyngdw138yuumwqbyqt&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33a4dafbc60099b5b53a3ad853ab9cd791d2e4195,Bologna_FC_1909
Cagliari Calcio,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/cagliari-calcio/5rwlg5cfv1hu7yf0ek1zxpzy3,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5rwlg5cfv1hu7yf0ek1zxpzy3,5rwlg5cfv1hu7yf0ek1zxpzy3,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=5rwlg5cfv1hu7yf0ek1zxpzy3&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f10b093854d04e1f7db152380ef9c5d70202ec32,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=5rwlg5cfv1hu7yf0ek1zxpzy3&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W360a0b51206c48a04b780da5bad59443168eb8910,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=5rwlg5cfv1hu7yf0ek1zxpzy3&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37803e7b148a52d4d2d32c1696a0b4694332fcc84,Cagliari_Calcio
Calcio Como 1907,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/calcio-como-1907/6uzfw7ahyxg4wrrfxo5u7qt0n,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6uzfw7ahyxg4wrrfxo5u7qt0n,6uzfw7ahyxg4wrrfxo5u7qt0n,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=6uzfw7ahyxg4wrrfxo5u7qt0n&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e4005da2859a6bd66dfe6bdc81122900d84a273f,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=6uzfw7ahyxg4wrrfxo5u7qt0n&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W327c977947e7ccf30f35e86d7552919e3f5a83e6b,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=6uzfw7ahyxg4wrrfxo5u7qt0n&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3eb2724d0676c26fa1557e12c7907c0d5c132a53a,Calcio_Como_1907
FC Internazionale Milano,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/fc-internazionale-milano/3vo5mpj7catp66nrwwqiuhuup,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3vo5mpj7catp66nrwwqiuhuup,3vo5mpj7catp66nrwwqiuhuup,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=3vo5mpj7catp66nrwwqiuhuup&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3eb7567554db0c45d5ab1e7535ece2c01346c12f3,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=3vo5mpj7catp66nrwwqiuhuup&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32b288778d16382a589b6331c1fb0726ad6e9d1a1,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=3vo5mpj7catp66nrwwqiuhuup&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b4911ebe45874d9dc41f17a4e50a5078708a8559,FC_Internazionale_Milano
Genoa CFC,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/genoa-cfc/4kumqzwifv478caxed8zywlh3,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4kumqzwifv478caxed8zywlh3,4kumqzwifv478caxed8zywlh3,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4kumqzwifv478caxed8zywlh3&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b0a8ccd6d275980644a4e2e19f5fbac35144434f,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=4kumqzwifv478caxed8zywlh3&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35e9de7f39ec65939aa040c0492785bb36843bc09,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=4kumqzwifv478caxed8zywlh3&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3209a826eaf21891ca0cad185227c864743fdc311,Genoa_CFC
Hellas Verona FC,https://www.scoresway.com/en_GB/soccer/serie-a-2025-2026/emdmtfr1v8rey2qru3xzfwges/teams/hellas-verona-fc/ap6blbxhq9elm62vw6tutzlwg,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ap6blbxhq9elm62vw6tutzlwg,ap6blbxhq9elm62vw6tutzlwg,emdmtfr1v8rey2qru3xzfwges,serie-a-2025-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ap6blbxhq9elm62vw6tutzlwg&tmcl=emdmtfr1v8rey2qru3xzfwges&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bfb3825e30a001b09d288d69987f62334dbc7cf4,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=ap6blbxhq9elm62vw6tutzlwg&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34f4f9ee7c27527cc9681e1aa13a93e287e5e238c,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=emdmtfr1v8rey2qru3xzfwges&ctst=ap6blbxhq9elm62vw6tutzlwg&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34f4eb62a6e265dccb7a4d5d3a8a5e569c43904e6,Hellas_Verona_FC
