root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Ground Duels won,Blocks,Leftside Passes,Shots On Target ( inc goals ),Total Tackles,Corners Won,Total Fouls Conceded,Foul Attempted Tackle,Unsuccessful Launches,Total Losses Of Possession,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Long Passes,Total Clearances,Touches,Rightside Passes,Unsuccessful Short Passes,Successful Crosses & Corners,Appearances,Successful Lay-offs,Tackles Lost,Successful Crosses open play,Forward Passes,Throw Ins to Own Player,Aerial Duels lost,Penalty Goals Conceded,Goals Conceded,Unsuccessful Dribbles,Goals Conceded Inside Box,Handballs conceded,Unsuccessful Passes Own Half,Interceptions,Ground Duels lost,Duels,Ground Duels,Open Play Passes,Index,Clean Sheets,Key Passes (Attempt Assists),Successful Fifty Fifty,Successful Short Passes,Unsuccessful Passes Opposition Half,Starts,Fifty Fifty,Successful Dribbles,Recoveries,Tackles Won,Duels lost,Successful Passes Opposition Half,Successful Passes Own Half,Times Tackled,Duels won,PutThrough/Blocked Distribution,Blocked Shots,Yellow Cards,Throw Ins to Opposition Player,Backward Passes,Overruns,Unsuccessful Long Passes,Total Shots,Aerial Duels,Goals Conceded Outside Box,Total Touches In Opposition Box,Shots Off Target (inc woodwork),Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),PutThrough/Blocked Distribution Won,Unsuccessful Crosses open play,Substitute Off,Aerial Duels won,Total Passes,Unsuccessful Crosses & Corners,Games Played,Total Fouls Won,Substitute On,Winning Goal,Successful Launches,Offsides,Corners Taken (incl short corners),Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Attempts from Set Pieces,Hit Woodwork,Goals from Inside Box,Goals,Assists (Intentional),Second Goal Assists,Left Foot Goals,Goal Assists,Home Goals,Away Goals,Foul Won Penalty,Unsuccessful lay-offs,Through balls,Right Foot Goals,Goals from Outside Box,Total Red Cards,Straight Red Cards,Own Goal Scored,Saves Made from Outside Box,Catches,Saves Made from Inside Box,Penalties Faced,Goal Kicks,Penalties Saved,Punches,Goalkeeper Smother,Drops,Saves made - parried,GK Successful Distribution,Saves from Penalty,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Headed Goals,Set Pieces Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Taken,Penalty Goals,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Last Player Tackle,Other Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Final Third Touches,Goals Openplay
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,Midfielder,4,130.0,5.0,421.0,3.0,39.0,8.0,59.0,41.0,8.0,274.0,1147.0,1202.0,114.0,12.0,1745.0,410.0,126.0,4.0,31.0,7.0,17.0,4.0,337.0,4.0,26.0,6.0,44.0,24.0,38.0,2.0,37.0,23.0,159.0,333.0,289.0,1298.0,10.0,5.0,13.0,37.0,1088.0,127.0,28.0,68.0,47.0,188.0,22.0,185.0,661.0,545.0,72.0,148.0,43.0,3.0,7.0,1.0,186.0,1.0,26.0,7.0,44.0,6.0,12.0,4.0,2444.0,152.0,25.0,12.0,7.0,18.0,1354.0,12.0,31.0,44.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,8m40wao3p52gtklegqx07w7h1,A. Barreca,Defender,27,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,23.0,24.0,2.0,1.0,57.0,11.0,4.0,1.0,3.0,,1.0,1.0,11.0,7.0,2.0,1.0,1.0,,1.0,,,,1.0,7.0,2.0,28.0,7.0,,1.0,1.0,22.0,16.0,1.0,1.0,,3.0,,3.0,17.0,8.0,,4.0,2.0,,,3.0,7.0,,2.0,2.0,5.0,,3.0,1.0,84.0,6.0,,7.0,1.0,3.0,30.0,10.0,3.0,,2.0,0.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,7358y8d8v19qn6s8h0kx7tn11,M. Benassi,Midfielder,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,5bi4t2dob5mo0okdbv6sna6fo,A. Bianco,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,66at96kfhvigkny465lkmrnbp,C. Biraghi,Defender,3,77.0,9.0,25.0,6.0,42.0,32.0,27.0,16.0,35.0,616.0,869.0,907.0,52.0,50.0,2041.0,454.0,190.0,65.0,35.0,,19.0,30.0,477.0,203.0,19.0,7.0,49.0,16.0,41.0,1.0,72.0,27.0,65.0,171.0,142.0,1150.0,10.0,5.0,44.0,30.0,855.0,440.0,31.0,49.0,13.0,136.0,23.0,84.0,624.0,348.0,21.0,87.0,64.0,6.0,8.0,39.0,242.0,3.0,101.0,19.0,29.0,8.0,56.0,13.0,2809.0,291.0,14.0,133.0,9.0,10.0,1198.0,221.0,35.0,23.0,4.0,0.0,14.0,4.0,85.0,54.0,,24.0,7.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,euibd75fsyggns1w3xerzzrh1,G. Bonaventura,Midfielder,5,115.0,2.0,280.0,12.0,34.0,7.0,39.0,22.0,9.0,283.0,734.0,752.0,49.0,11.0,1337.0,209.0,130.0,10.0,34.0,12.0,15.0,7.0,224.0,,32.0,5.0,38.0,20.0,33.0,2.0,42.0,39.0,122.0,298.0,237.0,892.0,10.0,2.0,22.0,33.0,703.0,147.0,27.0,75.0,40.0,140.0,19.0,154.0,477.0,285.0,50.0,144.0,49.0,17.0,5.0,1.0,200.0,2.0,31.0,27.0,61.0,5.0,41.0,15.0,2266.0,161.0,24.0,14.0,19.0,29.0,913.0,28.0,34.0,41.0,7.0,0.0,2.0,7.0,16.0,11.0,,3.0,1.0,2.0,1.0,3.0,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,9t753r5hnyq6qe5o7csuurw15,F. Brancolini,Goalkeeper,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,80t08iyo94ace5egjbeciv9p1,José Callejón,Forward,7,28.0,1.0,112.0,1.0,10.0,3.0,6.0,1.0,,88.0,189.0,193.0,12.0,5.0,360.0,28.0,42.0,8.0,20.0,1.0,3.0,6.0,38.0,9.0,9.0,2.0,13.0,3.0,11.0,,6.0,4.0,18.0,64.0,46.0,231.0,11.0,,4.0,7.0,181.0,57.0,6.0,19.0,6.0,33.0,7.0,27.0,131.0,70.0,9.0,37.0,14.0,3.0,,4.0,58.0,,1.0,7.0,18.0,2.0,14.0,6.0,656.0,43.0,3.0,19.0,6.0,9.0,236.0,20.0,20.0,12.0,14.0,0.0,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,f0d8cjxx5cw5i22m0yy6azb2t,G. Castrovilli,Midfielder,17,126.0,2.0,123.0,13.0,33.0,14.0,41.0,24.0,2.0,348.0,547.0,555.0,41.0,12.0,1217.0,223.0,135.0,10.0,34.0,12.0,14.0,10.0,226.0,8.0,39.0,7.0,39.0,35.0,35.0,1.0,27.0,34.0,157.0,335.0,283.0,698.0,10.0,3.0,15.0,57.0,514.0,151.0,29.0,100.0,30.0,136.0,19.0,196.0,399.0,166.0,86.0,139.0,55.0,4.0,8.0,2.0,135.0,9.0,17.0,28.0,52.0,4.0,60.0,15.0,2346.0,152.0,23.0,18.0,20.0,13.0,707.0,26.0,34.0,63.0,5.0,2.0,2.0,1.0,5.0,5.0,1.0,,,1.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2020-2021,ACF Fiorentina,ACF_Fiorentina,9mldc318nq0tli73wjh6ueket,F. Ceccherini,Defender,17,66.0,13.0,224.0,,20.0,2.0,52.0,24.0,32.0,226.0,786.0,820.0,56.0,74.0,1321.0,287.0,118.0,1.0,28.0,,7.0,1.0,410.0,11.0,47.0,3.0,30.0,4.0,25.0,,63.0,47.0,66.0,256.0,132.0,967.0,14.0,3.0,5.0,46.0,764.0,128.0,26.0,81.0,11.0,104.0,13.0,113.0,288.0,533.0,10.0,143.0,16.0,1.0,10.0,2.0,85.0,1.0,68.0,11.0,124.0,5.0,28.0,11.0,2015.0,186.0,8.0,5.0,13.0,77.0,1006.0,5.0,28.0,36.0,2.0,0.0,11.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
