liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Hit Woodwork,Leftside Passes,Offsides,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Total Touches In Opposition Box,Unsuccessful lay-offs,Blocked Shots,Clean Sheets,Corners Taken (incl short corners),Goals,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Left Foot Goals,Overruns,Right Foot Goals,Shots On Target ( inc goals ),Successful Corners into Box,Successful Launches,Successful Lay-offs,Through balls,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Corners into Box,Yellow Cards,Home Goals,Away Goals,Handballs conceded,Headed Goals,Last Player Tackle,Penalties Conceded,Penalty Goals Conceded,Total Big Chances Saved,Assists (Intentional),Goal Assists,Attempts from Set Pieces,Clearances Off the Line,Foul Won Penalty,Goals from Outside Box,Penalties Taken,Penalty Goals,Straight Red Cards,Total Red Cards,Direct Setpiece Goals,Set Pieces Goals,GK Successful Distribution,Goal Kicks,Own Goal Scored,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Catches,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target,Drops,Goalkeeper Smother,Second Goal Assists,Other Goals,Crosses not Claimed
Italy_Serie_A,2025-2026,ACF Fiorentina,27bs002m82i4a2s8d3x2xusr8,L. Balbo,Defender,62,6,3,3,5,8,5,8,3,27,13,14,19,30,2,5,1,1,21,10,11,1,1,50,2,4,2,6,14,1,1,1,4,1,1,3,33,17,19,32,2,4,6,21,194,5,10,2,5,34,52,35,6,17,128,4,4,1,4,10,18,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,6t8ii0xrbx86nr2aqg92zgus,P. Bonanno,Midfielder,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,5zr7c0xefkk2tmtrw30srieqc,R. Braschi,Forward,61,7,5,2,2,3,,4,1,16,10,6,24,2,,2,1,1,9,5,4,,,17,1,1,,3,7,,1,1,1,1,1,,10,9,3,11,2,,,1,106,4,,,,15,18,11,2,7,37,,,1,,1,4,3,6,0,1,6,1,3,2,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,1f37bo8dikes3350u2a0h9hm2,M. Brescianini,Midfielder,4,23,16,7,25,62,4,121,8,97,59,38,152,105,7,25,14,12,74,43,31,2,9,363,69,13,6,45,103,9,9,5,16,5,3,14,302,180,133,294,4,9,,2,967,21,23,16,10,112,369,308,13,61,531,13,10,6,13,19,56,18,42,0,1,99,,4,8,8,33,1,5,1,5,2,2,2,2,1,1,1,4,2,2,10,1,2,2,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,1sjt0nj0232gu88x50c3d16nd,O. Christensen,Goalkeeper,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,3mstqct3xksphtu651f65sxlg,S. Cianciulli,Midfielder,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,9srjp22oprs2tkcutb2g4o2dw,P. Comuzzo,Defender,15,62,32,30,26,75,13,147,2,132,66,66,47,267,12,26,27,22,70,34,36,22,3,925,69,23,11,58,241,3,17,7,9,,,37,833,270,582,815,15,17,1,12,1606,3,97,22,3,104,945,852,32,93,1182,1,1,1,25,33,58,36,60,0,,362,,7,1,9,11,,1,1,,1,5,,1,,,,2,,8,,,,1,1,,2,1,0,1,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,6avfh49xuek92jslmd10ybcic,L. Deli,Midfielder,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,9e3t2wyjqzxsn690aysao8cfd,Dodô,Defender,2,37,20,17,35,213,3,487,25,252,109,143,682,470,6,35,45,36,215,89,126,28,48,1328,344,59,24,169,113,50,35,6,,34,34,48,1105,661,503,1082,11,18,35,179,3049,52,56,22,52,503,1356,1130,29,226,2172,116,116,38,27,72,284,58,154,0,,560,2,16,46,20,82,,5,8,,1,9,1,1,1,5,,4,,4,4,4,8,1,1,,7,0,1,1,,,,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,a5eki9p236y4zxmp9qz202pcl,E. Džeko,Forward,9,27,9,18,11,25,1,14,3,43,17,26,47,11,,11,6,6,16,8,8,1,2,77,7,2,,1,32,2,2,2,9,1,1,1,56,34,27,59,,1,,,236,7,6,2,5,33,81,60,1,21,124,,,4,,1,18,3,20,0,,13,,,2,1,10,,3,,,,,,,,,,1,,,12,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
