id,temporada,liga,PSxG,PSxG+/-,psxg_goals_faced,shots_on_target_faced,soft_goals_conceded
6govmi3dn4cxa3m0lyeqc1uj9,2025-2026,Bundesliga,68.11,9.11,59,181,3
a79ojcztkvgui9sw4zbkmvr3d,2025-2026,Bundesliga,67.07,2.07,65,186,5
4zfgh6wq7svx418tzwf0gfavp,2025-2026,Bundesliga,60.01,-2.99,63,156,8
1ljgis575ujto4361ed15w0r9,2025-2026,Bundesliga,58.3,7.3,51,185,1
f2ibn3ej2doay3b4u8ezeix62,2025-2026,Bundesliga,56.83,-10.17,67,166,10
8b60vtt1stnmt2uoj0f4lh49h,2025-2026,Bundesliga,55.93,2.93,53,160,4
d3xdl3p9vd1c0m316oq2pblxx,2025-2026,Bundesliga,55.57,7.57,48,155,5
d2gbcc336c4zatpiif4cvm2fp,2025-2026,Bundesliga,55.38,-3.62,59,164,9
6gjlcd7rzi3p74qwvj7ia6esq,2025-2026,Bundesliga,53.58,-2.42,56,155,7
39yc76urwnda0ze6qb9h00ine,2025-2026,Bundesliga,53.32,-0.68,54,155,6
cm8po8ez5w9ms01gid6w3kwk5,2025-2026,Bundesliga,48.89,-3.11,52,145,3
8l1mv5qd9vwade754v3l8epjp,2025-2026,Bundesliga,43.28,-9.72,53,126,6
9rjd95oqotnalxmv56v7p1r6d,2025-2026,Bundesliga,40.06,6.06,34,120,1
920yurg08gqayxwc80q9f8ixh,2025-2026,Bundesliga,34.39,-2.61,37,115,4
4l3qk2g87pa3bevo2nlwkf3rp,2025-2026,Bundesliga,33.86,7.86,26,96,1
7llxni56g8q0yt33vhp1pt3o5,2025-2026,Bundesliga,31.4,-1.6,33,96,6
3tb27261f8mpzpq3prpv8ng0l,2025-2026,Bundesliga,29.24,-2.76,32,84,4
5rnmjho9ntzolo7ogkhyaey38,2025-2026,Bundesliga,24.9,-6.1,31,68,2
91n9wzn3qq2789zq8vdmfrd62,2025-2026,Bundesliga,18.15,3.15,15,46,0
64pzn3jdqo6y2izlpm8n3tvpx,2025-2026,Bundesliga,17.89,-2.11,20,50,4
jflu7a5n4f3ezoj20z0kje5m,2025-2026,Bundesliga,16.29,2.29,14,45,1
axcrcuv22693vn0a887samsph,2025-2026,Bundesliga,14.41,5.41,9,50,0
ci1nu5z8aiiikco8af0zk1lud,2025-2026,Bundesliga,12.94,-0.06,13,45,1
3wsyacqj7ci0ga9bzb988v7qh,2025-2026,Bundesliga,9.78,-2.22,12,25,1
ijttr9nlo90ugxg03kyv7pxw,2025-2026,Bundesliga,6.14,2.14,4,19,0
5tgzf5zjpgsj1bk5nm2zakg5x,2025-2026,Bundesliga,4.88,0.88,4,14,0
e36lcgg2vegiecbez2j15fl9m,2025-2026,Bundesliga,4.49,0.49,4,15,0
bwzftrovpa0418aapl98og7l6,2025-2026,Bundesliga,1.87,0.87,1,8,0
9sexp3trzdm6h50dk2y9hrjl5,2025-2026,Bundesliga,1.48,1.48,0,6,0
br2uswvdgoj7ndkx7mnbwgyd,2025-2026,Bundesliga,1.3,0.3,1,7,1
7w4l5mrrrg66wvdd8ndb5zb9x,2025-2026,English Premier League,66.34,-0.66,67,192,8
5z8ycnd0smdkumi5fgtzf7c9h,2025-2026,English Premier League,52.25,7.25,45,143,4
e8dina16u5kt5ho4u5igtmimt,2025-2026,English Premier League,50.21,5.21,45,144,8
d9yxninyn4bac8f0ufxsnlqll,2025-2026,English Premier League,49.0,3.0,46,135,3
dpw4s6nbkfcrjlqxxgf9j5yhh,2025-2026,English Premier League,48.14,4.14,44,141,5
bcfzovs0pj9urgv9r0ykjnlrd,2025-2026,English Premier League,47.77,-1.23,49,149,4
2f79rc4i712sxstahjkq6pxp1,2025-2026,English Premier League,45.64,-1.36,47,140,3
3wwi5vf2l1qbz7e5zdjoy8yga,2025-2026,English Premier League,44.13,6.13,38,134,5
6h0fuh0aamz86pf25qebm0fvu,2025-2026,English Premier League,43.46,1.46,42,145,8
h12c7ocq35slzrop3ltnrsnp,2025-2026,English Premier League,40.86,-9.14,50,133,7
3zl1q2gk6tdmzirsyfgm38no5,2025-2026,English Premier League,39.95,0.95,39,133,4
398isvyux7zpjiwa2hzsxyc16,2025-2026,English Premier League,38.08,3.08,35,108,3
9eaevg9okpy4gcm6yofg7vbv9,2025-2026,English Premier League,37.8,1.8,36,108,3
2vgr8c97x4b2e51tyvvixusid,2025-2026,English Premier League,35.03,4.03,31,118,4
4cetkl0w2uq40ccti5ka6a4t1,2025-2026,English Premier League,31.78,3.78,28,102,4
9s9i1a7hdq5bud8ma2dqi295h,2025-2026,English Premier League,31.61,-2.39,34,111,2
71rob1lsnmdviy1siakkzpqdx,2025-2026,English Premier League,30.52,-4.48,35,89,3
dve7yj8usejn9x7pmdjvozje1,2025-2026,English Premier League,25.51,-3.49,29,66,2
53d0pvr7ylvfhp6p749iniqc5,2025-2026,English Premier League,25.25,-4.75,30,83,4
4iijb6llnz28unsz4rirr3umt,2025-2026,English Premier League,24.97,-0.03,25,84,8
cnoomjxp6tna0mx2ycuptgixh,2025-2026,English Premier League,21.29,-1.71,23,74,4
eobf6cct1dpm7bdqyatg6ejmx,2025-2026,English Premier League,19.46,-3.54,23,69,4
20o2dr1mdk18xhxmkujzgak89,2025-2026,English Premier League,18.04,0.04,18,52,3
5frs9u0spep2j3gszu06awo9h,2025-2026,English Premier League,17.3,-2.7,20,59,3
6yovfcug6e9hykfauqy0fq67d,2025-2026,English Premier League,16.24,0.24,16,41,0
5cs6o0g04558bdb1gehmc3ht5,2025-2026,English Premier League,10.59,-0.41,11,24,2
5pbnl8ssfcrxf9lfg1pl3vxzp,2025-2026,English Premier League,8.45,1.45,7,14,0
7h2icfuwy00ilm14dw5xyl5g5,2025-2026,English Premier League,7.77,-0.23,8,24,0
5d6d4oc2rpau0mbbbt2dmtzv9,2025-2026,English Premier League,5.86,1.86,4,12,0
1c4nu9s3t3p83pufjf3n3xqay,2025-2026,English Premier League,5.44,1.44,4,15,0
465ote63ku4expl5kfdck5plh,2025-2026,English Premier League,4.8,-3.2,8,14,3
7rnd1uiknmho0s7a0objtnlcl,2025-2026,English Premier League,4.63,0.63,4,13,3
5qc2hwkixcdpfbq6qmfpxvey2,2025-2026,English Premier League,4.37,-0.63,5,12,3
7iv79dtpsplpjl1jxod3swmlm,2025-2026,English Premier League,2.81,0.81,2,12,1
eiqcjlj9kmitoj8g50vaglawa,2025-2026,English Premier League,2.08,-0.92,3,10,2
1b70inwbybewkz0b07gzughec,2025-2026,English Premier League,1.53,-0.47,2,7,1
