short_name,team,league,full_name,market_value,salary
M. Dúbravka,,Premier League,Martin Dubravka,€750k,€3.01M
G. Vicario,,Premier League,Guglielmo Vicario,€23.00m,€5.65M
D. Petrović,,Premier League,Dejan Petrovič,€1.50m,€310K
B. Leno,,Premier League,Bernd Leno,€8.00m,€9.79M
C. Kelleher,,Premier League,Caoimhín Kelleher,€25.00m,€4.14M
A. Aréola,,Premier League,Alphonse Areola,€5.00m,€9.04M
B. Verbruggen,,Premier League,Bart Verbruggen,€40.00m,€2.64M
Dean Henderson,,Premier League,Dean Henderson,€28.00m,€7.53M
Robin Roefs,,Premier League,Robin Roefs,€25.00m,€2.26M
Robert Sánchez,,Premier League,Robert Sanchez,€22.00m,€4.52M
Alisson,,Premier League,Alisson Becker,,
José Sá,,Premier League,Mikel San Jose,,€670K
Matz Sels,,Premier League,Matz Sels,€4.00m,€3.01M
S. Lammens,,Premier League,Senne Lammens,€30.00m,€4.52M
Emiliano Martínez,,Premier League,Emiliano Martinez,€15.00m,€11.30M
Lucas Perri,,Premier League,Lucas Perri,€13.00m,€3.77M
G. Donnarumma,,Premier League,Gianluigi Donnarumma,€45.00m,€18.83M
K. Darlow,,Premier League,Karl Darlow,€200k,€2.26M
M. Hermansen,,Premier League,Mads Hermansen,€15.00m,€3.39M
A. Bayindir,,Premier League,Altay Bayindir,€7.00m,€2.64M
A. Ramsdale,,Premier League,Aaron Ramsdale,€12.00m,€9.04M
G. Mamardashvili,,Premier League,Giorgi Mamardashvili,€28.00m,€6.40M
Marco Bizot,,Premier League,Marco Bizot,€2.50m,€3.39M
John,,Premier League,John Otto John,€600k,
Stefan Ortega,,Premier League,Stefan Ortega,€5.00m,
James Trafford,,Premier League,James Trafford,€25.00m,€5.65M
F. Jörgensen,,Premier League,Filip Jörgensen,€15.00m,€3.77M
H. Valdimarsson,,Premier League,Hákon Rafn Valdimarsson,€2.50m,€753K
Angus Gunn,,Premier League,Angus Gunn,€1.50m,€2.26M
M. Ellborg,,Premier League,Melker Ellborg,€3.00m,€753K
S. Coleman,,Premier League,Seamus Coleman,€300k,€4.14M
James Milner,,Premier League,James Milner,€750k,€4.52M
N. Clyne,,Premier League,Nathaniel Clyne,€500k,€3.77M
Tom Cairney,,Premier League,Tom Cairney,€750k,€2.64M
Chris Wood,,Premier League,Chris Wood,€6.00m,€6.78M
Lewis Dunk,,Premier League,Lewis Dunk,€4.00m,€6.40M
Ashley Barnes,,Premier League,Ashley Barnes,€200k,€1.88M
Casemiro,,Premier League,Casemiro,€8.00m,€27.11M
Lucas Digne,,Premier League,Lucas Digne,€8.00m,€10.17M
Matt Doherty,,Premier League,Matt Doherty,€1.50m,€3.77M
W. Benítez,,Premier League,Walter Benítez,€5.00m,€2.64M
Mateo Kovačić,,Premier League,Mateo Kovacic,€12.00m,€11.30M
N. Füllkrug,,Premier League,Niclas Fullkrug,€5.00m,€3.01M
Adam Smith,,Premier League,Adam Smith,€500k,€3.01M
J. Lascelles,,Premier League,Jamaal Lascelles,€1.20m,€3.77M
Fabian Schär,,Premier League,Fabian Schär,€6.00m,€5.27M
J. Ward-Prowse,,Premier League,James Ward-Prowse,€6.00m,€4.33M
Ben Davies,,Premier League,Ben Davies,€5.00m,€211K
Adama Traoré,,Premier League,Adama Traoré,€8.00m,€80K
Emil Krafth,,Premier League,Emil Krafth,€1.00m,€4.14M
S. Byram,,Premier League,Sam Byram,€600k,€1.88M
Wataru Endo,,Premier League,Wataru Endo,€5.00m,€3.77M
B. Traoré,,Premier League,Baba Traore,,€110K
A. Masuaku,,Premier League,Arthur Masuaku,€2.50m,€2.06M
Mikel Merino,,Premier League,Mikel Merino,€30.00m,€9.79M
Enes Ünal,,Premier League,Enes Unal,€8.00m,€1.13M
O. Zinchenko,,Premier League,Oleksandr Zinchenko,€10.00m,€1.95M
H. Reed,,Premier League,Harrison Reed,€3.00m,€3.77M
A. Armstrong,,Premier League,Adam Armstrong,€8.00m,€4.89M
Michael Keane,,Premier League,Michael Keane,€4.00m,€6.02M
Ola Aina,,Premier League,Ola Aina,€20.00m,€4.52M
P. Roberts,,Premier League,Patrick Roberts,€5.00m,€2.26M
J. Lerma,,Premier League,Jefferson Lerma,€8.00m,€5.27M
Yoane Wissa,,Premier League,Yoane Wissa,€30.00m,€10.54M
Solly March,,Premier League,Solly March,€2.00m,€3.77M
C. Nørgaard,,Premier League,Christian Nørgaard,€7.00m,
J. Palhinha,,Premier League,Joao Palhinha,€18.00m,€10.05M
Mathias Jensen,,Premier League,Mathias Jensen,€12.00m,€3.77M
J. Andersen,,Premier League,Joachim Andersen,€25.00m,€6.78M
Guido Rodríguez,,Premier League,Guido Rodríguez,€5.00m,€3.25M
O. Boscagli,,Premier League,Olivier Boscagli,€15.00m,€4.52M
J. Cullen,,Premier League,Josh Cullen,€6.00m,€4.14M
Tammy Abraham,,Premier League,Tammy Abraham,€20.00m,€10.54M
T. Adarabioyo,,Premier League,Tosin Adarabioyo,€18.00m,€9.04M
Richarlison,,Premier League,Richarlison,€28.00m,€7.83M
O. Edouard,,Premier League,Odsonne Édouard,€12.00m,€3.86M
Reiss Nelson,,Premier League,Reiss Nelson,€12.00m,€5.27M
Axel Tuanzebe,,Premier League,Axel Tuanzebe,€5.00m,€3.39M
Pau Torres,,Premier League,Pau Torres,€22.00m,€7.53M
Borna Sosa,,Premier League,Borna Sosa,€4.00m,€2.64M
I. Sangaré,,Premier League,Ibrahim Sangaré,€22.00m,€5.65M
Matthijs De Ligt,,Premier League,Matthijs De Ligt,€40.00m,€14.68M
Axel Disasi,,Premier League,Axel Disasi,€15.00m,€3.01M
Joe Worrall,,Premier League,Joe Worrall,€3.00m,€3.01M
Cristian Romero,,Premier League,Cristian Romero,€50.00m,€14.68M
S. Bornauw,,Premier League,Sebastiaan Bornauw,€8.00m,€3.39M
Mike Tresor,,Premier League,Mike Trésor,€3.00m,€2.26M
Tyrell Malacia,,Premier League,Tyrell Malacia,€5.00m,€5.65M
N. Milenković,,Premier League,Nikola Milenković,€30.00m,€7.91M
E. Pinnock,,Premier League,Ethan Pinnock,€4.00m,€2.26M
Gabriel Magalhães,,Premier League,Gabriel Magalhães,€75.00m,€12.05M
Ryan Yates,,Premier League,Ryan Yates,€8.00m,€3.77M
Douglas Luiz,,Premier League,Douglas Luiz,€20.00m,€4.52M
Igor Julio,,Premier League,Igor Julio,€12.00m,
Joël Piroe,,Premier League,Joël Piroe,€13.00m,€3.01M
C. Bassey,,Premier League,Calvin Bassey,€28.00m,€3.39M
Andrew Irving,,Premier League,Andrew Irving,€5.00m,
Frank Onyeka,,Premier League,Frank Onyeka,€7.00m,€1.51M
S. Kalajdžić,,Premier League,Sasa Kalajdzic,€2.00m,
Zian Flemming,,Premier League,Zian Flemming,€12.00m,€1.51M
Angel Gomes                                                                                                                                                                                                                       (CAM),,Premier League,Angel Gomes                                                                                                                                                                                                                       (CAM),,
K. Mavropanos,,Premier League,Konstantinos Mavropanos,€15.00m,€3.77M
Lisandro Martínez,,Premier League,Lisandro Martínez,€40.00m,€9.04M
B. Guimarães,,Premier League,Bruno Guimarães,€75.00m,€12.05M
H. Ekdal,,Premier League,Hjalmar Ekdal,€6.00m,
Matt O'Riley,,Premier League,Matt O'Riley,€20.00m,€4.89M
O. Marmoush,,Premier League,Omar Marmoush,€60.00m,€22.21M
M. Ugarte,,Premier League,Manuel Ugarte,€30.00m,€9.04M
M. Lacroix,,Premier League,Maxence Lacroix,€40.00m,€3.77M
Jaka Bijol,,Premier League,Jaka Bijol,€18.00m,€3.39M
Hamed Traorè,,Premier League,Hamed Junior Traorè,€15.00m,€5.00M
B. Badiashile,,Premier League,Loïc Badiashile,,€210K
Brian Brobbey,,Premier League,Brian Brobbey,€25.00m,€4.52M
D. Bakwa,,Premier League,Dilane Bakwa,€28.00m,€5.27M
Joshua Zirkzee,,Premier League,Joshua Zirkzee,€22.00m,€7.91M
Ilia Gruev,,Premier League,Ilia Gruev,€12.00m,€1.13M
Jota Silva,,Premier League,Jota Silva,€12.00m,€1.88M
Fábio Carvalho                                                                                                                                                                                                                       (CAM),,Premier League,Fábio Carvalho                                                                                                                                                                                                                       (CAM),,
Luca Netz,,Premier League,Luca Netz,€6.00m,€2.64M
D. Neil,,Premier League,Neil Danns,,€1.51M
Ao Tanaka,,Premier League,Ao Tanaka,€10.00m,€1.88M
Lorenzo Lucca,,Premier League,Lorenzo Lucca,€25.00m,€2.30M
M. Peart-Harris,,Premier League,Myles Peart-Harris,€900k,€188K
Oliver Sonne,,Premier League,Oliver Sonne,€4.00m,€150K
James Hill,,Premier League,James Hill,€15.00m,€1.88M
Bafodé Diakité,,Premier League,Bafodé Diakité,€30.00m,€5.27M
Nico González,,Premier League,Nicolás González,€45.00m,€9.38M
Maxim De Cuyper,,Premier League,Maxim De Cuyper,€22.00m,€4.14M
R. Drăgușin,,Premier League,Radu Drăgușin,€20.00m,€6.40M
Jenson Seelt,,Premier League,Jenson Seelt,€5.00m,€590K
Rodrigo Muniz,,Premier League,Rodrigo Muniz,€25.00m,€4.52M
Toti Gomes,,Premier League,Toti Gomes,€20.00m,€6.02M
D. Coppola,,Premier League,Diego Coppola,€10.00m,€910K
Morato,,Premier League,Morato,€14.00m,€220K
T. Arokodare,,Premier League,Tolu Arokodare,€22.00m,€5.65M
B. Humphreys,,Premier League,Bashir Humphreys,€15.00m,€3.01M
Dane Scarlett,,Premier League,Dane Scarlett,€2.00m,
Chadi Riad,,Premier League,Chadi Riad,€12.00m,€2.26M
George Earthy,,Premier League,George Earthy,€2.00m,€565K
Roméo Lavia,,Premier League,Roméo Lavia,€25.00m,€3.39M
Jaydon Banel,,Premier League,Jaydon Banel,€1.00m,€377K
T. Chirewa,,Premier League,Tawanda Chirewa,€500k,
Andrey Santos,,Premier League,Andrey Santos,€45.00m,€2.64M
E. Agbadou,,Premier League,Emmanuel Agbadou,€18.00m,€2.35M
Marc Guiu,,Premier League,Marc Guiu,€12.00m,€3.77M
Jair Cunha,,Premier League,Jair Cunha,€12.00m,€2.64M
Max Alleyne,,Premier League,Max Alleyne,€8.00m,€565K
Andrés García,,Premier League,Andrés García Mohedano,€200k,€60K
Ben Winterburn,,Premier League,Ben Winterburn,€450k,
Fer López                                                                                                                                                                                                                       (RAM),,Premier League,Fer López                                                                                                                                                                                                                       (RAM),,
Pablo Felipe,,Premier League,Pablo Felipe,€18.00m,
Kayden Rodney,,Premier League,Kayden Rodney,€200k,
F. Buonanotte,,Premier League,Facundo Buonanotte,€16.00m,€941K
M. Sarr,,Premier League,Mahamadou-Naby Sarr,,
Alex Murphy,,Premier League,Alex Murphy,€1.50m,€602K
A. Edward,,Premier League,Armanti Edwards,,
Oliver Scarles,,Premier League,Oliver Scarles,€10.00m,€1.51M
Tyler Fredricson,,Premier League,Tyler Fredricson,€3.00m,€1.88M
Chris Rigg,,Premier League,Christopher Rigg,€25.00m,
V. Milosavljevic,,Premier League,Veljko Milosavljevic,€20.00m,€1.88M
Jamaldeen Jimoh                                                                                                                                                                                                                       (CAM),,Premier League,Jamaldeen Jimoh                                                                                                                                                                                                                       (CAM),,
Callum Marshall,,Premier League,Callum Marshall,€2.00m,
S. Tzimas,,Premier League,Stefanos Tzimas,€20.00m,€1.51M
Romain Esse,,Premier League,Romain Esse,€10.00m,€1.13M
Nehemiah Oriola,,Premier League,Nehemiah Oriola,€200k,
Joe Knight,,Premier League,Joe Knight,€100k,
J. Kusi-Asare,,Premier League,Jonah Kusi-Asare,€4.00m,€1.88M
George Hemmings,,Premier League,George Hemmings,€800k,
Shea Lacey,,Premier League,Shea Lacey,€3.00m,
Jack Fletcher,,Premier League,Jack Fletcher,€1.00m,
Pedro Lima,,Premier League,Pedro Lima,€4.00m,€60K
C. Olusesi,,Premier League,Callum Olusesi,€3.00m,
Divine Mukasa,,Premier League,Divine Mukasa,€5.00m,
Trey Nyoni,,Premier League,Trey Nyoni,€6.00m,€1.88M
Tom Edozie,,Premier League,Tom Edozie,,
B. Mantato,,Premier League,Bendito Mantato,€400k,
Ezra Mayers,,Premier League,Ezra Mayers,€1.20m,
C. Uche,,Premier League,Chima Uche,,
R. Donovan,,Premier League,Roy O'Donovan,,
Tyler Fletcher,,Premier League,Tyler Fletcher,,
Ayden Heaven,,Premier League,Ayden Heaven,€20.00m,€1.88M
Rio Ngumoha,,Premier League,Rio Ngumoha,€20.00m,€1.88M
J. Rowswell,,Premier League,James Rowswell,,
B. Burrowes,,Premier League,Bradley Burrowes,€2.00m,
J. Byfield,,Premier League,J. Byfield,,
Jocelin Ta Bi,,Premier League,Jocelin Ta Bi,€3.00m,
Jordan Pickford,,Premier League,Jordan Pickford,€15.00m,€11.30M
Sam Johnstone,,Premier League,Sam Johnstone,€3.00m,€3.77M
David Raya,,Premier League,David Raya,€35.00m,€7.53M
Granit Xhaka,,Premier League,Granit Xhaka,€10.00m,€8.28M
V. Van Dijk,,Premier League,Virgil van Dijk,€18.00m,€24.10M
Harry Maguire,,Premier League,Harry Maguire,€10.00m,€14.31M
Nathan Aké,,Premier League,Nathan Ake,€15.00m,€12.05M
John Stones,,Premier League,John Stones,€15.00m,€18.83M
Dan Burn,,Premier League,Dan Burn,€5.00m,€5.27M
D. Solanke,,Premier League,Dominic Solanke,€35.00m,€10.54M
Tomáš Souček,,Premier League,Tomáš Souček,€12.00m,€6.78M
T. Mings,,Premier League,Tyrone Mings,€4.00m,€8.28M
Kenny Tete,,Premier League,Kenny Tete,€11.00m,€4.89M
Luke O'Nien,,Premier League,Luke O'Nien,€1.00m,€1.51M
O. Alderete,,Premier League,Omar Alderete,€15.00m,€4.89M
R. Bentancur,,Premier League,Rodrigo Bentancur,€22.00m,€5.65M
Gabriel Jesus,,Premier League,Gabriel Jesus,€20.00m,€19.95M
Daniel James,,Premier League,Daniel James,€12.00m,€5.65M
Bruun Larsen,,Premier League,Jacob Bruun Larsen,€5.00m,€3.39M
N. Mazraoui,,Premier League,Noussair Mazraoui,€20.00m,€10.17M
Alexander Isak,,Premier League,Alexander Isak,€100.00m,€18.07M
Issa Diop,,Premier League,Issa Diop,€10.00m,€5.27M
Kevin Danso,,Premier League,Kevin Danso,€20.00m,€4.89M
Jean Mateta,,Premier League,Jean-Philippe Mateta,€35.00m,€4.52M
Y. Bissouma,,Premier League,Yves Bissouma,€12.00m,€4.14M
Ben White,,Premier League,Benjamin Whiteman,€2.50m,
Nayef Aguerd,,Premier League,Nayef Aguerd,€20.00m,€6.14M
Santi Bueno,,Premier League,Santi Bueno,€10.00m,€3.01M
J. Larsen,,Premier League,Jens Stryger Larsen,€400k,
L. Geertruida,,Premier League,Lutsharel Geertruida,€20.00m,€6.40M
Jorge Cuenca,,Premier League,Jorge Cuenca,€8.00m,€1.88M
C. Gallagher,,Premier League,Conor Gallagher,€35.00m,€12.05M
M. Zubimendi,,Premier League,Martín Zubimendi,€80.00m,€5.65M
Sven Botman,,Premier League,Sven Botman,€35.00m,€9.79M
J. Todibo,,Premier League,Jean-Clair Todibo,€23.00m,€6.02M
N. Woltemade,,Premier League,Nick Woltemade,€65.00m,€9.98M
Malick Thiaw,,Premier League,Malick Thiaw,€45.00m,€5.65M
Harvey Elliott,,Premier League,Harvey Elliott,€22.00m,€4.89M
Chris Richards,,Premier League,Chris Richards,€25.00m,€4.14M
Mats Wieffer,,Premier League,Mats Wieffer,€25.00m,€4.52M
Beto,,Premier League,Beto,€20.00m,€40K
Liam Delap,,Premier League,Liam Delap,€32.00m,€7.53M
K. Hoever,,Premier League,K. Hoever,,€1.51M
B. Šeško,,Premier League,Benjamin Šeško,€65.00m,€12.05M
Aaron Hickey,,Premier League,Aaron Hickey,€16.00m,€5.27M
Igor Jesus,,Premier League,Igor Jesus,€22.00m,€3.77M
Wilfried Gnonto,,Premier League,Wilfried Gnonto,€18.00m,€3.01M
Moisés Caicedo,,Premier League,Moisés Caicedo,€110.00m,€10.54M
J. Branthwaite,,Premier League,Jarrad Branthwaite,€45.00m,€9.04M
Oscar Bobb,,Premier League,Oscar Bobb,€30.00m,€4.89M
Jamie Gittens,,Premier League,Jamie Bynoe-Gittens,€35.00m,€8.13M
Nicolò Savona,,Premier League,Nicolò Savona,€18.00m,€3.61M
C. Mosquera,,Premier League,Cristhian Mosquera,€35.00m,€4.14M
Jake O'Brien,,Premier League,Jake O'Brien,€18.00m,€2.64M
A. Milambo,,Premier League,Antoni Milambo,€20.00m,€2.26M
M. Estève,,Premier League,Maxime Esteve,€25.00m,€3.77M
Dennis Cirkin,,Premier League,Dennis Cirkin,€8.00m,€1.51M
Rico Lewis,,Premier League,Rico Lewis,€32.00m,€1.88M
Ben Doak,,Premier League,Ben Gannon-Doak,€16.00m,€2.26M
Lucas Pires,,Premier League,Lucas Pires,€5.00m,€1.51M
C. Alcaraz,,Premier League,Carlos Alcaraz,€15.00m,€1.51M
Lewis-Skelly,,Premier League,Myles Lewis-Skelly,€35.00m,€3.39M
Luis Guilherme,,Premier League,Luis Guilherme,€12.00m,€2.50M
S. Magassa,,Premier League,Soungoutou Magassa,€17.00m,€2.64M
Julio Soler,,Premier League,Julio Soler,€8.00m,€1.51M
Zach Abbott,,Premier League,Zach Abbott,€3.00m,€941K
Tom Watson,,Premier League,Tom Watson,€10.00m,€90K
T. George,,Premier League,George Thorne,,€241K
Jorrel Hato,,Premier League,Jorrel Hato,€35.00m,€9.04M
Jaydee Canvot,,Premier League,Jaydee Canvot,€20.00m,€1.88M
Junior Kroupi,,Premier League,Eli Junior Kroupi,,€1.51M
Tyler Dibling,,Premier League,Tyler-Jay Dibling,,
J. Acheampong,,Premier League,Josh Acheampong,€25.00m,€377K
A. Khusanov,,Premier League,Abduqodir Khusanov,,
Harry Howell,,Premier League,Harry Howell,€8.00m,
Alex Tóth,,Premier League,Alex Tóth,€12.00m,
H. Armstrong,,Premier League,Harrison Armstrong,€12.00m,€90K
M. Dowman                                                                                                                                                                                                                       (CAM),,Premier League,M. Dowman                                                                                                                                                                                                                       (CAM),,
Joél Drakes-Thomas,,Premier League,Joél Drakes-Thomas,€1.00m,
Nick Pope,,Premier League,Nick Pope,€7.00m,€4.52M
Danny Welbeck,,Premier League,Danny Welbeck,€4.00m,€4.52M
J. Henderson,,Premier League,Jordan Henderson,€2.00m,€5.65M
Pascal Groß,,Premier League,Pascal Gross,€3.50m,
Callum Wilson,,Premier League,Callum Wilson,,€3.77M
