id,temporada,zx,zy,touches
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,0,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,1,1
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,2,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,3,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,4,2
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,5,5
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,6,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,0,7,6
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,0,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,1,2
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,2,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,3,4
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,4,6
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,5,2
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,6,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,1,7,6
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,0,7
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,1,3
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,2,10
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,3,8
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,4,7
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,5,11
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,6,13
b4q9q0qgmtz959rygieg9ln1l,2025-2026,2,7,11
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,0,14
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,1,15
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,2,36
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,3,28
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,4,26
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,5,30
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,6,30
b4q9q0qgmtz959rygieg9ln1l,2025-2026,3,7,20
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,0,9
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,1,22
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,2,36
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,3,19
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,4,31
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,5,28
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,6,39
b4q9q0qgmtz959rygieg9ln1l,2025-2026,4,7,37
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,0,13
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,1,18
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,2,25
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,3,23
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,4,38
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,5,35
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,6,20
b4q9q0qgmtz959rygieg9ln1l,2025-2026,5,7,36
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,0,19
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,1,12
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,2,23
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,3,32
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,4,30
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,5,35
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,6,40
b4q9q0qgmtz959rygieg9ln1l,2025-2026,6,7,34
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,0,30
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,1,29
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,2,48
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,3,47
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,4,26
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,5,45
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,6,50
b4q9q0qgmtz959rygieg9ln1l,2025-2026,7,7,58
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,0,26
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,1,50
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,2,61
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,3,35
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,4,65
b4q9q0qgmtz959rygieg9ln1l,2025-2026,8,5,78
