id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
b9g4qurpll4wizajo95c406hh,2025-2026,Bundesliga,26.58,17.94,8.06,26,119,108,8.2,42
6rutvrgco8li4nyz7tfayxb6x,2025-2026,Bundesliga,16.92,16.14,2.86,19,122,121,4.06,39
5pousbiuqbus68yekd0mhc5pl,2025-2026,Bundesliga,16.81,16.02,-3.02,13,81,80,3.58,36
bmrdtenqr84jt4gmw6i7wez11,2025-2026,Bundesliga,17.66,15.31,0.69,16,84,81,1.68,21
2ofcow1hf3b245myztjgvvqc4,2025-2026,Bundesliga,15.28,14.5,-5.5,9,63,62,3.14,23
c0ewvrtk657uw4t5rlv87mq51,2025-2026,Bundesliga,16.91,12.98,-0.98,12,72,67,1.73,13
5ch0r2awkzjfd4hv6kbw6c9gp,2025-2026,Bundesliga,12.65,12.65,2.35,15,88,88,8.29,68
ekz97oo88fcqhay2w2hrhecyc,2025-2026,Bundesliga,11.97,11.18,0.82,12,75,74,2.98,17
m2c4lckkcr7yilnqxrrsgh2i,2025-2026,Bundesliga,10.84,10.84,4.16,15,101,101,14.84,82
24vsicnsc44o2mr9jk0qjvb2t,2025-2026,Bundesliga,12.18,10.61,2.39,13,67,65,1.05,14
10fuwkejg59w68jmx1ae0cfe1,2025-2026,Bundesliga,10.09,10.09,-3.09,7,52,52,2.63,25
dg6vrx8k026l7f8ytbu1xxj9x,2025-2026,Bundesliga,10.38,9.6,-3.6,6,52,51,1.94,15
6ivap35b2p5rwv8rzigaum6wa,2025-2026,Bundesliga,10.27,9.48,-4.48,5,72,71,3.13,25
d3tfdqfnab7bqxfdh3399y06i,2025-2026,Bundesliga,12.11,8.97,0.03,9,41,37,0.69,9
1yjv2fht4kuph088zlgwfwup6,2025-2026,Bundesliga,8.8,8.8,1.2,10,73,73,3.79,30
ew18qvvupaejxubhqmxmbd39x,2025-2026,Bundesliga,11.84,7.91,1.09,9,64,59,3.54,38
xuk3qlmk4985hs8ocjjd49ka,2025-2026,Bundesliga,7.81,7.81,1.19,9,50,50,4.76,30
avk9yje6h4nndg3cufnbu2imt,2025-2026,Bundesliga,8.44,7.66,3.34,11,41,40,1.72,17
dvhjw2ieemakzw9o56r6y4foq,2025-2026,Bundesliga,9.22,7.65,2.35,10,52,50,2.29,20
pjbuqt8wiwm2ql2tfvvcn59m,2025-2026,Bundesliga,8.34,7.55,-0.55,7,53,52,1.56,27
8855nyl8htw15u4y4apom7fxm,2025-2026,Bundesliga,8.28,7.49,-0.49,7,60,59,3.33,26
amcwh6w0brmkttg4uc5qm6z9w,2025-2026,Bundesliga,7.16,7.16,0.84,8,38,38,1.38,16
9nrt6uh2zw65jd7u2axlvxsoa,2025-2026,Bundesliga,7.62,6.84,-1.84,5,65,64,1.15,23
b7cso5zljdvzfila9zd4fz4ve,2025-2026,Bundesliga,6.79,6.79,0.21,7,63,63,6.53,60
b4x911h58r8i9b2vvsnydvfo4,2025-2026,Bundesliga,6.7,6.7,-1.7,5,42,42,2.6,24
8ri0md3tr27a1bn10xmfkgsus,2025-2026,Bundesliga,6.7,6.7,1.3,8,50,50,2.27,16
8e6qzf8dp3c9lch7tu5r03qqc,2025-2026,Bundesliga,6.42,6.42,5.58,12,53,53,9.92,60
7amefftr5evwcnzm718rfh9n8,2025-2026,Bundesliga,6.3,6.3,-1.3,5,46,46,1.83,15
9x0s8mzjc9ey0q812sn3poums,2025-2026,Bundesliga,5.87,5.87,-2.87,3,54,54,5.25,33
68rs7juin2mmdok00hw6uvre2,2025-2026,Bundesliga,5.85,5.85,-0.85,5,62,62,0.88,18
8828sbg7wzgjbs1727j0rx84q,2025-2026,Bundesliga,5.85,5.85,0.15,6,48,48,2.52,26
4ysxvym6ww4f9d3hflkqsbf11,2025-2026,Bundesliga,5.68,5.68,2.32,8,50,50,4.69,24
4v1bqelw9bk1gftvzwzk6w6w9,2025-2026,Bundesliga,5.63,5.63,-0.63,5,31,31,0.82,9
1ywfkwrcysdlvkt859q00kt7t,2025-2026,Bundesliga,5.34,5.34,-0.34,5,46,46,0.6,11
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,Bundesliga,5.29,5.29,4.71,10,56,56,2.68,25
3nok8qxxj2zl831wgvc7abxuc,2025-2026,Bundesliga,5.27,5.27,-2.27,3,42,42,2.5,13
ftm7a5ulllwzj3n6oqa6awru,2025-2026,Bundesliga,5.08,5.08,-0.08,5,32,32,5.74,44
dgubl900t52nssngev6atayju,2025-2026,Bundesliga,5.81,5.02,-2.02,3,32,31,1.76,16
9ic8hvnkzj9p0ikh6bwaeoqju,2025-2026,Bundesliga,4.95,4.95,0.05,5,35,35,1.13,12
57c808184l80uuuv7z3flcu6t,2025-2026,Bundesliga,4.9,4.9,2.1,7,43,43,2.42,20
8kar47kxxc8f20vc9ul2ez3yt,2025-2026,Bundesliga,4.84,4.84,1.16,6,33,33,1.88,22
6hotzhpidcjljm3u0ud1uqsid,2025-2026,Bundesliga,4.78,4.78,1.22,6,28,28,1.04,7
3ynh418z6f6bfjz674vs40f6x,2025-2026,Bundesliga,4.76,4.76,-2.76,2,43,43,1.89,20
25vb30mtetefhp3ix26nlhx0q,2025-2026,Bundesliga,4.74,4.74,1.26,6,34,34,3.59,33
cywgibmici8hwp1ad1nhk3ufp,2025-2026,Bundesliga,4.65,4.65,-1.65,3,29,29,2.56,16
f4qcgzveslklfi8601tep77x1,2025-2026,Bundesliga,4.59,4.59,2.41,7,37,37,4.99,30
7c6034wb3zsuq9nhxxiahiuol,2025-2026,Bundesliga,5.38,4.59,0.41,5,29,28,0.88,7
5bnq6c53ofgo9msqn3vlobpm2,2025-2026,Bundesliga,5.3,4.52,-3.52,1,47,46,7.21,61
7ngbzn51z20j8s1drzdtwiove,2025-2026,Bundesliga,5.29,4.51,0.49,5,39,38,1.49,14
b4q9q0qgmtz959rygieg9ln1l,2025-2026,Bundesliga,7.58,4.44,-3.44,1,57,53,9.46,91
ebj6t5jqzixrnww1z7qofznu2,2025-2026,Bundesliga,4.44,4.44,2.56,7,31,31,2.61,16
6ki6rv564ybctrajr2xtgyeax,2025-2026,Bundesliga,4.43,4.43,-0.43,4,36,36,0.4,7
8mkkchf0ysdf78r0lncd73klw,2025-2026,Bundesliga,4.36,4.36,-0.36,4,61,61,4.68,37
4w4ldzomkj7fhrc51iimz8no5,2025-2026,Bundesliga,4.35,4.35,0.65,5,35,35,2.15,23
dw9fzixumboknmucqgqffurmy,2025-2026,Bundesliga,4.28,4.28,1.72,6,30,30,1.87,24
bsyv3fmihshve4jcr11qmtmfp,2025-2026,Bundesliga,4.24,4.24,-1.24,3,34,34,1.82,23
3havaatbnk8p6gc9srgajc25l,2025-2026,Bundesliga,4.21,4.21,2.79,7,45,45,8.07,52
bh8t0fz0czhgepa3rskdxmt7u,2025-2026,Bundesliga,4.19,4.19,-1.19,3,30,30,0.91,19
630sqbiu7utmkg8yw0h4ky8a2,2025-2026,Bundesliga,4.17,4.17,-1.17,3,29,29,1.01,11
53nd6a4o02ebb0w2s12prijje,2025-2026,Bundesliga,4.15,4.15,-0.15,4,38,38,2.28,26
eolso19u03zxw2pca2i95v4dl,2025-2026,Bundesliga,5.66,4.09,-0.09,4,71,69,2.87,35
7w63iqek6hmnizlirurla1cr9,2025-2026,Bundesliga,10.31,4.03,-0.03,4,55,47,7.58,70
c2p36c1bs0hddw58lf48iy68k,2025-2026,Bundesliga,4.03,4.03,0.97,5,48,48,6.15,46
bt35y17wl42b5t5tw6z68uwyy,2025-2026,Bundesliga,4.01,4.01,2.99,7,49,49,5.14,38
anycrq4ug1ee012dw68tpsh2i,2025-2026,Bundesliga,4.78,3.99,0.01,4,21,20,0.95,6
6g4cnzr3dh0veul5svzkhmxw4,2025-2026,Bundesliga,3.98,3.98,1.02,5,51,51,3.74,27
81qmlg0ttijhkywm55ejdr40k,2025-2026,Bundesliga,4.77,3.98,1.02,5,32,31,0.6,13
4j8y1bwt6z8iu98077xqzmvx0,2025-2026,Bundesliga,3.96,3.96,-1.96,2,43,43,2.85,25
7o11dzx2cccrslutrjl16ik89,2025-2026,Bundesliga,3.95,3.95,1.05,5,41,41,4.97,38
6b7p3ncup75mpop91n0u1mw2d,2025-2026,Bundesliga,3.84,3.84,1.16,5,42,42,4.71,25
bwqqecmqm76v5b83v1cz891p1,2025-2026,Bundesliga,3.83,3.83,0.17,4,30,30,2.96,22
f5ln82l8q7gvouj3zhsp5t4gl,2025-2026,Bundesliga,3.79,3.79,-0.79,3,44,44,1.57,23
12f4mz064elnxecq2srl7r6j9,2025-2026,Bundesliga,6.13,3.78,1.22,5,60,57,9.74,78
