id,temporada,kind,zx,zy,xt
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,1,3,0.00406
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,3,0,0.00319
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,3,2,0.0248
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,3,4,0.00404
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,3,5,0.01111
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,3,6,0.01357
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,1,0.01084
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,2,0.0035
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,3,0.00581
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,4,0.01298
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,5,0.00702
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,6,0.01086
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,4,7,0.00618
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,0,0.00362
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,1,0.01308
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,2,0.01017
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,4,0.01626
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,5,0.04442
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,6,0.00552
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,5,7,0.02759
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,0,0.00585
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,2,0.00836
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,3,0.02747
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,4,0.00428
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,5,0.04033
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,6,0.01168
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,6,7,0.02805
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,0,0.0253
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,1,0.09433
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,2,0.06978
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,3,0.1061
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,4,0.02669
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,5,0.08083
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,6,-0.02112
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,7,7,0.05262
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,0,0.04531
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,1,0.08568
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,2,0.20177
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,3,0.10652
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,4,0.22597
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,5,0.47987
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,6,0.25302
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,8,7,0.37471
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,0,0.02492
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,1,0.14734
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,2,-0.00316
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,3,0.05955
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,4,-0.09134
b4q9q0qgmtz959rygieg9ln1l,2025-2026,gen,9,5,0.39761
