liga,temporada,equipo,zx,zy,touches
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,0,2.0
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,1,2.2059
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,2,3.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,3,13.5882
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,4,16.6471
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,5,3.0882
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,6,2.4706
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,7,2.8529
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,0,4.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,1,5.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,2,7.3235
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,3,13.5294
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,4,13.0294
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,5,6.4706
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,6,4.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,7,6.2353
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,0,6.0882
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,1,5.9412
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,2,8.0294
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,3,8.6471
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,4,7.5588
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,5,8.0294
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,6,6.7353
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,7,5.8529
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,0,9.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,1,9.7941
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,2,12.9706
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,3,11.6765
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,4,11.7647
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,5,13.0294
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,6,10.8824
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,7,9.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,0,9.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,1,10.6176
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,2,16.0
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,3,11.7647
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,4,10.5294
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,5,14.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,6,11.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,7,10.1176
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,0,8.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,1,8.0
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,2,11.2353
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,3,10.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,4,9.8529
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,5,11.8235
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,6,7.9118
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,7,8.3235
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,0,9.6176
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,1,7.6471
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,2,9.8235
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,3,8.3824
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,4,9.4118
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,5,10.6471
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,6,9.5294
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,7,9.3824
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,0,10.4412
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,1,10.1765
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,2,10.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,3,6.1471
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,4,6.1765
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,5,9.2059
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,6,9.5294
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,7,11.6471
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,0,10.0588
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,1,8.7059
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,2,8.3235
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,3,7.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,4,6.4412
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,5,8.7941
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,6,8.8235
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,7,10.6765
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,0,6.4118
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,1,4.7353
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,2,4.6765
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,3,3.6765
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,4,3.5294
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,5,5.7353
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,6,5.7647
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,7,7.4706
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,0,5.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,1,3.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,2,3.2647
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,3,3.9706
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,4,4.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,5,4.3235
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,6,4.3529
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,7,5.2941
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,0,3.8824
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,1,2.1176
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,2,2.1765
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,3,1.5588
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,4,2.2059
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,5,1.8824
