liga,temporada,equipo,sector,passes,avg_dist,completion
Germany_Bundesliga,2025-2026,SV Werder Bremen,0,1421,21.56,58.1
Germany_Bundesliga,2025-2026,SV Werder Bremen,1,1205,19.96,69.5
Germany_Bundesliga,2025-2026,SV Werder Bremen,2,1315,18.63,81.3
Germany_Bundesliga,2025-2026,SV Werder Bremen,3,1305,18.99,84.4
Germany_Bundesliga,2025-2026,SV Werder Bremen,4,1015,17.26,90.8
Germany_Bundesliga,2025-2026,SV Werder Bremen,5,693,15.53,92.9
Germany_Bundesliga,2025-2026,SV Werder Bremen,6,611,14.47,93.8
Germany_Bundesliga,2025-2026,SV Werder Bremen,7,560,13.21,95.0
Germany_Bundesliga,2025-2026,SV Werder Bremen,8,564,13.17,92.4
Germany_Bundesliga,2025-2026,SV Werder Bremen,9,651,15.49,95.4
Germany_Bundesliga,2025-2026,SV Werder Bremen,10,780,16.3,93.1
Germany_Bundesliga,2025-2026,SV Werder Bremen,11,937,17.47,93.2
Germany_Bundesliga,2025-2026,SV Werder Bremen,12,1336,18.69,87.4
Germany_Bundesliga,2025-2026,SV Werder Bremen,13,1378,18.59,81.9
Germany_Bundesliga,2025-2026,SV Werder Bremen,14,1191,19.37,73.0
Germany_Bundesliga,2025-2026,SV Werder Bremen,15,1320,21.39,59.8
Germany_Bundesliga,2025-2026,VfL Wolfsburg,0,1280,22.9,51.0
Germany_Bundesliga,2025-2026,VfL Wolfsburg,1,1034,19.23,67.4
Germany_Bundesliga,2025-2026,VfL Wolfsburg,2,1046,16.9,80.0
Germany_Bundesliga,2025-2026,VfL Wolfsburg,3,981,17.38,85.8
Germany_Bundesliga,2025-2026,VfL Wolfsburg,4,812,15.67,88.1
Germany_Bundesliga,2025-2026,VfL Wolfsburg,5,596,14.83,93.6
Germany_Bundesliga,2025-2026,VfL Wolfsburg,6,582,15.51,95.9
Germany_Bundesliga,2025-2026,VfL Wolfsburg,7,449,14.84,94.4
Germany_Bundesliga,2025-2026,VfL Wolfsburg,8,436,14.95,92.9
Germany_Bundesliga,2025-2026,VfL Wolfsburg,9,488,15.65,93.6
Germany_Bundesliga,2025-2026,VfL Wolfsburg,10,656,14.81,94.5
Germany_Bundesliga,2025-2026,VfL Wolfsburg,11,717,15.78,90.0
Germany_Bundesliga,2025-2026,VfL Wolfsburg,12,1036,16.82,85.9
Germany_Bundesliga,2025-2026,VfL Wolfsburg,13,1063,17.49,81.7
Germany_Bundesliga,2025-2026,VfL Wolfsburg,14,1010,18.99,68.4
Germany_Bundesliga,2025-2026,VfL Wolfsburg,15,1364,23.53,56.2
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,0,1424,22.14,57.8
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,1,1222,19.41,75.6
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,2,1350,18.12,83.8
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,3,1282,16.86,86.0
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,4,1052,16.21,90.1
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,5,755,14.98,94.2
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,6,659,15.55,97.1
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,7,559,13.62,95.5
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,8,628,13.71,95.4
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,9,713,14.78,96.1
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,10,831,14.18,94.6
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,11,1054,15.73,91.8
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,12,1376,17.15,89.5
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,13,1366,18.06,86.4
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,14,1179,18.91,76.8
Germany_Bundesliga,2025-2026,Eintracht Frankfurt,15,1328,22.35,58.3
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,0,1476,24.01,50.9
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,1,1023,20.06,61.4
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,2,945,17.85,75.6
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,3,803,17.58,77.7
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,4,644,16.07,83.2
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,5,531,14.32,90.0
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,6,495,16.09,94.1
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,7,405,15.44,95.3
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,8,449,14.68,92.2
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,9,460,15.09,94.1
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,10,518,15.08,91.1
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,11,670,16.58,87.5
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,12,885,17.36,81.2
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,13,935,17.75,77.3
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,14,948,18.57,65.8
Germany_Bundesliga,2025-2026,1. FSV Mainz 05,15,1379,24.79,54.5
Germany_Bundesliga,2025-2026,FC St. Pauli,0,1656,22.75,54.2
Germany_Bundesliga,2025-2026,FC St. Pauli,1,1152,19.58,65.3
Germany_Bundesliga,2025-2026,FC St. Pauli,2,1098,16.49,77.8
Germany_Bundesliga,2025-2026,FC St. Pauli,3,1015,16.86,82.7
Germany_Bundesliga,2025-2026,FC St. Pauli,4,782,15.34,88.5
Germany_Bundesliga,2025-2026,FC St. Pauli,5,564,14.21,92.4
Germany_Bundesliga,2025-2026,FC St. Pauli,6,498,14.69,92.6
Germany_Bundesliga,2025-2026,FC St. Pauli,7,544,13.41,91.7
Germany_Bundesliga,2025-2026,FC St. Pauli,8,538,13.12,94.1
Germany_Bundesliga,2025-2026,FC St. Pauli,9,522,14.95,95.0
Germany_Bundesliga,2025-2026,FC St. Pauli,10,669,14.08,93.1
Germany_Bundesliga,2025-2026,FC St. Pauli,11,746,15.08,88.2
Germany_Bundesliga,2025-2026,FC St. Pauli,12,1072,16.79,85.2
Germany_Bundesliga,2025-2026,FC St. Pauli,13,1020,17.29,82.4
Germany_Bundesliga,2025-2026,FC St. Pauli,14,1081,19.19,67.0
Germany_Bundesliga,2025-2026,FC St. Pauli,15,1483,22.76,54.3
Germany_Bundesliga,2025-2026,SC Freiburg,0,1237,21.88,58.1
Germany_Bundesliga,2025-2026,SC Freiburg,1,1021,18.64,70.4
Germany_Bundesliga,2025-2026,SC Freiburg,2,1232,16.94,82.8
Germany_Bundesliga,2025-2026,SC Freiburg,3,1124,16.99,86.7
Germany_Bundesliga,2025-2026,SC Freiburg,4,812,15.53,89.7
Germany_Bundesliga,2025-2026,SC Freiburg,5,556,15.29,95.9
Germany_Bundesliga,2025-2026,SC Freiburg,6,540,15.79,96.5
Germany_Bundesliga,2025-2026,SC Freiburg,7,496,15.43,94.0
Germany_Bundesliga,2025-2026,SC Freiburg,8,512,14.38,92.4
Germany_Bundesliga,2025-2026,SC Freiburg,9,552,16.0,94.7
Germany_Bundesliga,2025-2026,SC Freiburg,10,595,15.01,95.1
Germany_Bundesliga,2025-2026,SC Freiburg,11,739,15.48,89.4
Germany_Bundesliga,2025-2026,SC Freiburg,12,1092,16.83,86.3
Germany_Bundesliga,2025-2026,SC Freiburg,13,1056,18.01,82.6
Germany_Bundesliga,2025-2026,SC Freiburg,14,886,18.27,74.2
Germany_Bundesliga,2025-2026,SC Freiburg,15,1212,23.62,53.5
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,0,1415,22.4,60.9
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,1,1179,18.71,75.7
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,2,1239,17.89,83.1
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,3,1363,18.11,85.0
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,4,1191,16.01,89.9
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,5,791,14.97,94.3
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,6,667,15.61,95.8
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,7,590,14.07,92.4
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,8,601,13.75,93.0
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,9,614,14.9,94.5
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,10,763,14.48,93.2
Germany_Bundesliga,2025-2026,BV Borussia 09 Dortmund,11,1020,16.05,92.9
