zx,zy,value
0,0,0.000885
0,1,0.001549
0,2,0.00236
0,3,0.006562
0,4,0.00777
0,5,0.002367
0,6,0.001598
0,7,0.000911
1,0,0.001322
1,1,0.00221
1,2,0.002465
1,3,0.002504
1,4,0.002557
1,5,0.002608
1,6,0.002226
1,7,0.001337
2,0,0.001579
2,1,0.002153
2,2,0.002301
2,3,0.002309
2,4,0.002271
2,5,0.002343
2,6,0.002213
2,7,0.001588
3,0,0.001695
3,1,0.002078
3,2,0.002208
3,3,0.002315
3,4,0.002298
3,5,0.002205
3,6,0.00206
3,7,0.001699
4,0,0.002005
4,1,0.002371
4,2,0.002576
4,3,0.002639
4,4,0.002629
4,5,0.002563
4,6,0.002338
4,7,0.001969
5,0,0.002509
5,1,0.002975
5,2,0.003247
5,3,0.003323
5,4,0.003277
5,5,0.003232
5,6,0.002936
5,7,0.002466
6,0,0.003269
6,1,0.003876
6,2,0.004298
6,3,0.004309
6,4,0.00422
6,5,0.004273
6,6,0.003838
6,7,0.003179
7,0,0.00434
7,1,0.005325
7,2,0.0059
7,3,0.006403
7,4,0.006398
7,5,0.005872
7,6,0.005236
7,7,0.004232
8,0,0.006428
8,1,0.008386
8,2,0.009645
8,3,0.010826
8,4,0.010897
8,5,0.009528
8,6,0.008141
8,7,0.006143
9,0,0.009529
9,1,0.012933
9,2,0.017576
9,3,0.028407
9,4,0.027128
9,5,0.017181
9,6,0.012263
9,7,0.008981
10,0,0.011245
10,1,0.01628
10,2,0.034347
10,3,0.084015
10,4,0.083985
10,5,0.033291
10,6,0.015803
10,7,0.010848
11,0,0.011214
11,1,0.017581
11,2,0.035017
11,3,0.19538
11,4,0.202944
11,5,0.035075
11,6,0.017277
11,7,0.011013
